Assertion ID 	Assertion	Agreement Score 	Issue
114	Middle east countries should be allowed to determine their own future.	0.9583333333333333	US Engagement in the Middle East
87	US should protect America against terrorism.	0.9565217391304348	US Engagement in the Middle East
5	The Us should try to protect themselve.	0.894736842105263	US Engagement in the Middle East
94	US Engagement in the middle east needs to be carefully addressed.	0.894736842105263	US Engagement in the Middle East
138	Not every middle eastern is a terrorist.	0.8888888888888888	US Engagement in the Middle East
61	Us engagement in the middle east is controversial in the world and brings a lot of hatred and anti US sentiment to the US.	0.8571428571428572	US Engagement in the Middle East
14	We cannot make any irrational decisions about US Engagement in the middle east.	0.853658536585366	US Engagement in the Middle East
32	Unfortunately trying to help has caused disdain for the West.	0.8400000000000001	US Engagement in the Middle East
137	The US should worry about their problems first.	0.8297872340425532	US Engagement in the Middle East
82	US cannot be in isolation.	0.8139534883720929	US Engagement in the Middle East
115	Forcing beliefs on established Middle East cultures will only cause negative reactions.	0.8139534883720929	US Engagement in the Middle East
105	The US should try to keep themselves safe.	0.8113207547169812	US Engagement in the Middle East
22	Sending troops to the Middle East does not prevent terrorism.	0.8	US Engagement in the Middle East
10	The war with Iraq was pointless and very costly.	0.7959183673469388	US Engagement in the Middle East
57	War in Middle East is too expensive for the US.	0.7959183673469388	US Engagement in the Middle East
44	The U.S. has interferred in issues unrelated to us and we have been informed that we are not wanted.	0.7872340425531914	US Engagement in the Middle East
52	Eliminate as many weapons of mass destruction as possible.	0.7872340425531914	US Engagement in the Middle East
73	Acceptance of differences in Middle Eastern cultures is paramount in resolving current conflict.	0.7872340425531914	US Engagement in the Middle East
60	War in Iraq is not worth it.	0.7857142857142858	US Engagement in the Middle East
126	The Iraq war is proof that the US should stay away from the Middle East.	0.7727272727272727	US Engagement in the Middle East
84	Before any compromise there must be a correct dialogue.	0.7692307692307692	US Engagement in the Middle East
109	The USA should be concerned with terrorists entering the usa.	0.7674418604651163	US Engagement in the Middle East
117	The war in Iraq was not worth the cost of human life.	0.7647058823529411	US Engagement in the Middle East
28	There are many mixed feelings about US Engagement in the middle east.	0.7647058823529411	US Engagement in the Middle East
98	The war in Iraq is wasting money.	0.75	US Engagement in the Middle East
42	America  should deal with the problems in their own country before interfering int he Middle East.	0.7435897435897436	US Engagement in the Middle East
104	Those in the Middle East feel the US has butted in where it doesn't belong.	0.7333333333333334	US Engagement in the Middle East
49	The US needs to let the Middle East solve its own problems.	0.7272727272727273	US Engagement in the Middle East
66	The war in Iraq was not worth the financial burden placed on the US economy.	0.7254901960784315	US Engagement in the Middle East
8	US Engagement in the middle east has also helped some people in the middle east.	0.7142857142857142	US Engagement in the Middle East
13	Sending troops is not helpful if we are not wanted there.	0.7083333333333333	US Engagement in the Middle East
119	The Iraq war has cost too many American lives.	0.7083333333333333	US Engagement in the Middle East
21	Americans should not send groud troops to the middle east.	0.7083333333333333	US Engagement in the Middle East
108	They should fulfill their commitments to peace and harmony.	0.7	US Engagement in the Middle East
9	Usa's intervention in middle east can bring a disaster.	0.6981132075471699	US Engagement in the Middle East
54	Usa's intervention in middle east should be discussed with the Country before act.	0.6923076923076923	US Engagement in the Middle East
62	The war in the Middle East is about oil.	0.6842105263157894	US Engagement in the Middle East
122	The US needs to take a hard stand on terrorism.	0.6734693877551021	US Engagement in the Middle East
110	US is not the police of the world.	0.6727272727272726	US Engagement in the Middle East
93	The US shouldn't bother those people.	0.6595744680851063	US Engagement in the Middle East
123	United States must avoid the least action that leads to war.	0.6444444444444444	US Engagement in the Middle East
50	US waste millions everyday in a struggling economy.	0.625	US Engagement in the Middle East
16	The war in the middle east wastes military resources.	0.6190476190476191	US Engagement in the Middle East
65	Engaging in the Middle East only fuels terrorism.	0.6140350877192982	US Engagement in the Middle East
