id	gender	age	profession	sportiv	smoker	interestd in having a smoke shop	conservative or liberal	RT @ericamtucker: Here is my story... Thx @HIGH_TIMES_Mag!! 💖 @HERBworthy @SnoopDogg @JohnMayer @tommychong #thetuckerfight #legalizeit #ma…	Add your name to tell AG Jeff Sessions we won't let him drag us back to darkest days of the #WarOnDrugs #LegalizeIt https://t.co/Y6tfTzVO2r	Gov. Scott signs medical #marijuana plan #cannabis  https://t.co/Is3DBx8fue #medicalmarijuana #CBD… https://t.co/3GOHye7ABn	@PAHouseGOP Pennsylvania should declare itself independent of federal marijuana law  #legalizeit	Long lines in Nevada as recreational marijuana goes on salehttps://t.co/lDpDctJzqI#StonerMagazine #CNN #LasVegas… https://t.co/HJ9WoxuaR8	Public Consumption Gets Another Go in Alaska https://t.co/Tz3mnlafNv #legalizeit #sativa #cannabis https://t.co/Fkpyna6gdW	RT @RadioRiddler: Working on a special remix! #Reggae #PeterTosh #LegalizeIt	Here Are Five Ways #Marijuana Is Better For You Than Alcohol https://t.co/WDrUbLPvow #legalizeit #dope #mmj https://t.co/pJQ08ESHXN	what the trap going to do when weed becomes legal in every state? it will be a sad story, but shit it was good whil… https://t.co/SOxH8A7noW	#Cannabis around the world!  #legalizeit #marijuana #naturalhealth https://t.co/D8XYeWH03f
0	female	14	self-employed	true	true	true	true	0	1	0	0	0	1	1	1	0	1
1	male	74	employee	false	true	true	false	0	0	0	0	0	0	0	1	1	1
2	male	66	self-employed	true	true	true	true	0	1	0	1	0	1	1	1	0	1
3	male	51	employee	false	false	true	true	1	0	0	0	1	0	0	0	0	0
4	female	85	other	true	false	false	false	1	1	1	0	0	1	0	0	0	0
5	other	35	self-employed	false	false	false	true	0	1	1	1	1	0	1	1	1	1
6	female	21	student (university)	false	false	true	false	0	1	0	1	1	1	1	0	0	1
7	other	78	student (university)	true	false	false	true	1	1	1	0	0	0	1	1	1	0
8	male	45	student (university)	false	true	false	false	0	0	1	1	0	0	0	1	1	1
9	other	44	unemployed/seeking employment	true	true	false	true	0	1	1	1	0	1	1	0	0	0
10	other	87	unemployed/seeking employment	true	true	true	true	1	0	0	1	0	0	1	1	0	1
11	other	37	self-employed	false	false	false	false	1	1	0	0	0	0	1	0	0	0
12	other	27	employee	false	true	true	true	0	0	0	1	0	1	1	1	0	0
13	female	15	employee	true	false	true	false	0	0	0	0	1	1	1	0	0	0
14	male	82	employee	false	true	false	false	0	0	1	0	1	1	0	1	1	1
15	male	81	other	false	true	true	true	0	1	1	1	0	1	0	0	1	0
16	male	99	student (university)	true	true	true	false	1	0	0	0	0	1	1	0	1	1
17	female	64	unemployed/seeking employment	false	true	false	false	0	0	0	0	0	1	0	0	1	1
18	female	95	unemployed/seeking employment	false	false	false	false	1	1	1	0	1	1	1	1	0	0
19	other	1	student (highschool)	true	true	true	true	0	1	0	0	0	1	1	0	0	1
id	gender	age	profession	sportiv	smoker	interestd in having a smoke shop	conservative or liberal	RT @ericamtucker: Here is my story... Thx @HIGH_TIMES_Mag!! 💖 @HERBworthy @SnoopDogg @JohnMayer @tommychong #thetuckerfight #legalizeit #ma…	Add your name to tell AG Jeff Sessions we won't let him drag us back to darkest days of the #WarOnDrugs #LegalizeIt https://t.co/Y6tfTzVO2r	Gov. Scott signs medical #marijuana plan #cannabis  https://t.co/Is3DBx8fue #medicalmarijuana #CBD… https://t.co/3GOHye7ABn	@PAHouseGOP Pennsylvania should declare itself independent of federal marijuana law  #legalizeit	Long lines in Nevada as recreational marijuana goes on salehttps://t.co/lDpDctJzqI#StonerMagazine #CNN #LasVegas… https://t.co/HJ9WoxuaR8	Public Consumption Gets Another Go in Alaska https://t.co/Tz3mnlafNv #legalizeit #sativa #cannabis https://t.co/Fkpyna6gdW	RT @RadioRiddler: Working on a special remix! #Reggae #PeterTosh #LegalizeIt	Here Are Five Ways #Marijuana Is Better For You Than Alcohol https://t.co/WDrUbLPvow #legalizeit #dope #mmj https://t.co/pJQ08ESHXN	what the trap going to do when weed becomes legal in every state? it will be a sad story, but shit it was good whil… https://t.co/SOxH8A7noW	#Cannabis around the world!  #legalizeit #marijuana #naturalhealth https://t.co/D8XYeWH03f
0	female	90	unemployed/seeking employment	true	false	true	false	1	1	1	0	0	1	1	0	1	0
1	other	62	student (highschool)	false	false	true	true	0	0	0	1	1	1	1	0	1	0
2	male	66	employee	false	false	true	false	0	1	1	0	0	0	0	0	1	0
3	female	79	other	true	false	false	true	0	1	0	1	0	0	0	0	1	1
4	other	74	student (university)	true	true	true	false	0	0	1	0	1	1	0	1	0	0
5	other	81	self-employed	true	false	true	true	0	1	1	0	1	0	0	0	1	1
6	other	20	employee	false	false	true	true	1	0	0	1	1	1	1	0	0	0
7	other	69	student (university)	true	true	true	false	1	1	1	0	0	0	0	0	1	0
8	female	64	employee	false	true	false	true	0	0	1	0	0	1	0	1	1	0
9	male	14	employee	true	true	true	false	0	0	0	1	1	1	1	1	0	0
10	other	58	other	false	false	true	false	0	1	1	1	1	1	0	0	0	1
11	male	75	self-employed	true	true	true	true	0	0	1	1	0	1	1	1	0	0
12	female	83	self-employed	true	false	false	false	0	1	1	0	1	1	1	1	1	0
13	female	70	employee	false	true	false	false	0	0	1	0	0	1	0	0	1	1
14	other	95	student (highschool)	true	false	true	true	0	0	0	0	1	1	1	1	0	1
15	female	17	student (highschool)	true	false	false	true	0	1	1	1	0	0	0	1	0	1
