#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR
#Wed Dec 23 12:12:18 CET 2015
tweets450.xml=0,1;0,1;-1.0
tweets568.xml=0,1;1,0;-1.0
tweets355.xml=0,1;0,1;-1.0
tweets470.xml=0,1;1,0;-1.0
tweets593.xml=0,1;0,1;-1.0
tweets598.xml=0,1;0,1;-1.0
tweets467.xml=0,1;0,1;-1.0
tweets284.xml=0,1;1,0;-1.0
tweets502.xml=1,0;1,0;-1.0
tweets415.xml=0,1;0,1;-1.0
tweets181.xml=0,1;1,0;-1.0
tweets242.xml=0,1;0,1;-1.0
tweets325.xml=0,1;0,1;-1.0
tweets553.xml=0,1;1,0;-1.0
tweets435.xml=1,0;0,1;-1.0
tweets610.xml=0,1;1,0;-1.0
tweets178.xml=0,1;0,1;-1.0
tweets134.xml=0,1;0,1;-1.0
tweets208.xml=0,1;1,0;-1.0
tweets427.xml=0,1;0,1;-1.0
tweets226.xml=0,1;0,1;-1.0
tweets108.xml=0,1;0,1;-1.0
tweets244.xml=1,0;0,1;-1.0
tweets463.xml=0,1;0,1;-1.0
