#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR
#Wed Dec 23 11:33:22 CET 2015
tweets669.xml=0,1;0,1;-1.0
tweets918.xml=0,1;0,1;-1.0
tweets617.xml=0,1;0,1;-1.0
tweets640.xml=0,1;0,1;-1.0
tweets890.xml=0,1;0,1;-1.0
tweets964.xml=0,1;0,1;-1.0
tweets982.xml=0,1;0,1;-1.0
tweets895.xml=0,1;0,1;-1.0
tweets969.xml=0,1;0,1;-1.0
tweets786.xml=0,1;0,1;-1.0
tweets874.xml=0,1;0,1;-1.0
tweets892.xml=0,1;0,1;-1.0
tweets953.xml=0,1;1,0;-1.0
tweets984.xml=0,1;0,1;-1.0
tweets616.xml=0,1;0,1;-1.0
tweets971.xml=0,1;0,1;-1.0
tweets621.xml=0,1;0,1;-1.0
tweets775.xml=0,1;0,1;-1.0
tweets688.xml=0,1;1,0;-1.0
tweets736.xml=0,1;0,1;-1.0
tweets715.xml=0,1;0,1;-1.0
tweets746.xml=0,1;0,1;-1.0
tweets720.xml=0,1;0,1;-1.0
tweets615.xml=0,1;0,1;-1.0
