#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR
#Fri Dec 18 16:25:30 CET 2015
tweets1009.xml=1,0;0,1;-1.0
tweets1310.xml=1,0;1,0;-1.0
tweets1309.xml=1,0;0,1;-1.0
tweets1394.xml=0,1;1,0;-1.0
tweets1049.xml=1,0;1,0;-1.0
tweets1517.xml=1,0;1,0;-1.0
tweets1470.xml=1,0;1,0;-1.0
tweets1069.xml=1,0;0,1;-1.0
tweets1469.xml=1,0;1,0;-1.0
tweets1305.xml=0,1;1,0;-1.0
tweets1425.xml=1,0;1,0;-1.0
tweets1013.xml=0,1;0,1;-1.0
tweets1245.xml=1,0;0,1;-1.0
tweets1513.xml=0,1;1,0;-1.0
tweets1233.xml=0,1;1,0;-1.0
tweets1485.xml=0,1;1,0;-1.0
tweets1185.xml=0,1;1,0;-1.0
tweets1653.xml=1,0;1,0;-1.0
tweets1141.xml=1,0;0,1;-1.0
tweets1048.xml=1,0;0,1;-1.0
tweets1481.xml=1,0;1,0;-1.0
tweets1404.xml=0,1;1,0;-1.0
tweets1456.xml=1,0;0,1;-1.0
tweets1276.xml=1,0;0,1;-1.0
tweets1600.xml=0,1;1,0;-1.0
tweets1552.xml=1,0;1,0;-1.0
tweets1440.xml=1,0;1,0;-1.0
tweets1060.xml=1,0;1,0;-1.0
tweets1239.xml=1,0;0,1;-1.0
tweets1160.xml=1,0;0,1;-1.0
tweets1647.xml=0,1;1,0;-1.0
tweets1379.xml=1,0;0,1;-1.0
tweets1099.xml=1,0;0,1;-1.0
tweets1535.xml=1,0;1,0;-1.0
tweets1167.xml=0,1;1,0;-1.0
tweets1199.xml=0,1;0,1;-1.0
tweets1635.xml=0,1;0,1;-1.0
tweets1555.xml=0,1;1,0;-1.0
tweets1343.xml=1,0;1,0;-1.0
tweets1171.xml=0,1;0,1;-1.0
tweets1606.xml=1,0;0,1;-1.0
tweets1526.xml=1,0;1,0;-1.0
tweets1358.xml=1,0;1,0;-1.0
tweets1066.xml=1,0;0,1;-1.0
tweets1166.xml=0,1;1,0;-1.0
tweets1022.xml=0,1;1,0;-1.0
tweets1122.xml=1,0;1,0;-1.0
tweets1422.xml=1,0;1,0;-1.0
tweets1622.xml=1,0;1,0;-1.0
