#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR
#Fri Dec 18 16:24:09 CET 2015
tweets1274.xml=0,1;1,0;-1.0
tweets1009.xml=0,1;0,1;-1.0
tweets1062.xml=1,0;1,0;-1.0
tweets1309.xml=1,0;0,1;-1.0
tweets1394.xml=1,0;1,0;-1.0
tweets1662.xml=1,0;1,0;-1.0
tweets1250.xml=1,0;0,1;-1.0
tweets1150.xml=0,1;0,1;-1.0
tweets1369.xml=0,1;1,0;-1.0
tweets1057.xml=1,0;1,0;-1.0
tweets1390.xml=0,1;0,1;-1.0
tweets1233.xml=1,0;1,0;-1.0
tweets1401.xml=1,0;1,0;-1.0
tweets1185.xml=1,0;1,0;-1.0
tweets1161.xml=1,0;0,1;-1.0
tweets1568.xml=1,0;1,0;-1.0
tweets1268.xml=1,0;1,0;-1.0
tweets1404.xml=1,0;1,0;-1.0
tweets1024.xml=1,0;0,1;-1.0
tweets1604.xml=1,0;1,0;-1.0
tweets1188.xml=1,0;1,0;-1.0
tweets1044.xml=1,0;0,1;-1.0
tweets1476.xml=1,0;1,0;-1.0
tweets1412.xml=1,0;0,1;-1.0
tweets1496.xml=1,0;1,0;-1.0
tweets1600.xml=1,0;1,0;-1.0
tweets1484.xml=1,0;1,0;-1.0
tweets1352.xml=0,1;1,0;-1.0
tweets1140.xml=0,1;1,0;-1.0
tweets1239.xml=0,1;0,1;-1.0
tweets1060.xml=0,1;1,0;-1.0
tweets1207.xml=1,0;1,0;-1.0
tweets1160.xml=0,1;0,1;-1.0
tweets1315.xml=1,0;1,0;-1.0
tweets1403.xml=1,0;1,0;-1.0
tweets1635.xml=0,1;0,1;-1.0
tweets1623.xml=1,0;1,0;-1.0
tweets1095.xml=1,0;1,0;-1.0
tweets1631.xml=0,1;1,0;-1.0
tweets1171.xml=1,0;0,1;-1.0
tweets1618.xml=1,0;1,0;-1.0
tweets1606.xml=1,0;0,1;-1.0
tweets1591.xml=1,0;1,0;-1.0
tweets1214.xml=1,0;0,1;-1.0
tweets1098.xml=1,0;1,0;-1.0
tweets1534.xml=1,0;1,0;-1.0
tweets1166.xml=1,0;1,0;-1.0
tweets1022.xml=0,1;1,0;-1.0
tweets1086.xml=0,1;1,0;-1.0
tweets1254.xml=1,0;0,1;-1.0
tweets1354.xml=0,1;0,1;-1.0
