#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR
#Fri Dec 18 16:28:11 CET 2015
tweets1614.xml=1,0;1,0;-1.0
tweets1562.xml=1,0;1,0;-1.0
tweets1209.xml=0,1;0,1;-1.0
tweets1672.xml=0,1;1,0;-1.0
tweets1223.xml=0,1;0,1;-1.0
tweets1235.xml=1,0;1,0;-1.0
tweets1653.xml=1,0;1,0;-1.0
tweets1127.xml=0,1;0,1;-1.0
tweets1385.xml=0,1;0,1;-1.0
tweets1648.xml=0,1;0,1;-1.0
tweets1384.xml=1,0;0,1;-1.0
tweets1287.xml=0,1;0,1;-1.0
tweets1339.xml=1,0;1,0;-1.0
tweets1354.xml=0,1;0,1;-1.0
tweets1068.xml=0,1;0,1;-1.0
tweets1549.xml=1,0;1,0;-1.0
tweets1298.xml=1,0;1,0;-1.0
