#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR
#Fri Dec 18 16:26:50 CET 2015
tweets1011.xml=1,0;1,0;-1.0
tweets1192.xml=0,1;0,1;-1.0
tweets1306.xml=1,0;0,1;-1.0
tweets1052.xml=1,0;0,1;-1.0
tweets1076.xml=1,0;0,1;-1.0
tweets1479.xml=0,1;1,0;-1.0
tweets1666.xml=0,1;1,0;-1.0
tweets1513.xml=0,1;1,0;-1.0
tweets1031.xml=0,1;0,1;-1.0
tweets1327.xml=0,1;1,0;-1.0
tweets1099.xml=1,0;0,1;-1.0
tweets1510.xml=1,0;1,0;-1.0
tweets1618.xml=1,0;1,0;-1.0
tweets1026.xml=1,0;1,0;-1.0
tweets1194.xml=0,1;0,1;-1.0
tweets1135.xml=0,1;1,0;-1.0
tweets1271.xml=0,1;0,1;-1.0
