#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR
#Wed Dec 23 10:40:09 CET 2015
tweets2211.xml=0,1;1,0;-1.0
tweets1673.xml=0,1;0,1;-1.0
tweets1699.xml=0,1;1,0;-1.0
tweets2145.xml=0,1;1,0;-1.0
tweets1698.xml=0,1;1,0;-1.0
tweets1791.xml=0,1;0,1;-1.0
tweets2292.xml=0,1;1,0;-1.0
tweets1790.xml=0,1;0,1;-1.0
tweets1787.xml=0,1;0,1;-1.0
tweets1695.xml=1,0;0,1;-1.0
tweets1867.xml=1,0;1,0;-1.0
tweets2108.xml=1,0;1,0;-1.0
tweets1711.xml=1,0;0,1;-1.0
tweets2067.xml=1,0;0,1;-1.0
tweets1690.xml=0,1;0,1;-1.0
tweets1818.xml=1,0;1,0;-1.0
