#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR
#Tue Dec 22 11:50:01 CET 2015
tweets2800.xml=1,0;1,0;-1.0
tweets2546.xml=1,0;1,0;-1.0
tweets2886.xml=1,0;1,0;-1.0
tweets2380.xml=1,0;1,0;-1.0
tweets2798.xml=1,0;0,1;-1.0
tweets2612.xml=1,0;1,0;-1.0
tweets2650.xml=1,0;1,0;-1.0
tweets2805.xml=1,0;0,1;-1.0
tweets2722.xml=1,0;1,0;-1.0
tweets2787.xml=0,1;1,0;-1.0
tweets2513.xml=1,0;1,0;-1.0
tweets2551.xml=0,1;1,0;-1.0
tweets2693.xml=1,0;1,0;-1.0
tweets2821.xml=0,1;0,1;-1.0
tweets2682.xml=0,1;0,1;-1.0
tweets2858.xml=1,0;1,0;-1.0
tweets2435.xml=1,0;1,0;-1.0
tweets2792.xml=0,1;0,1;-1.0
tweets2896.xml=0,1;1,0;-1.0
tweets2489.xml=0,1;1,0;-1.0
tweets2815.xml=1,0;1,0;-1.0
tweets2336.xml=1,0;0,1;-1.0
tweets2732.xml=0,1;1,0;-1.0
tweets2611.xml=1,0;1,0;-1.0
tweets2908.xml=1,0;1,0;-1.0
tweets2325.xml=1,0;0,1;-1.0
tweets2863.xml=1,0;1,0;-1.0
tweets2440.xml=1,0;0,1;-1.0
tweets2418.xml=1,0;0,1;-1.0
tweets2314.xml=0,1;1,0;-1.0
tweets2512.xml=1,0;1,0;-1.0
tweets2710.xml=1,0;1,0;-1.0
tweets2852.xml=1,0;1,0;-1.0
tweets2456.xml=1,0;1,0;-1.0
tweets2494.xml=0,1;0,1;-1.0
tweets2566.xml=1,0;1,0;-1.0
tweets2841.xml=1,0;1,0;-1.0
tweets2341.xml=0,1;0,1;-1.0
tweets2483.xml=1,0;1,0;-1.0
tweets2857.xml=0,1;1,0;-1.0
tweets2632.xml=0,1;1,0;-1.0
tweets2769.xml=1,0;1,0;-1.0
tweets2846.xml=1,0;1,0;-1.0
tweets2346.xml=1,0;0,1;-1.0
tweets2621.xml=1,0;1,0;-1.0
tweets2598.xml=1,0;0,1;-1.0
tweets2637.xml=0,1;1,0;-1.0
tweets2412.xml=1,0;1,0;-1.0
tweets2450.xml=0,1;0,1;-1.0
tweets2803.xml=1,0;0,1;-1.0
tweets2324.xml=0,1;1,0;-1.0
tweets2466.xml=1,0;1,0;-1.0
tweets2819.xml=0,1;0,1;-1.0
tweets2455.xml=1,0;1,0;-1.0
tweets2482.xml=1,0;1,0;-1.0
tweets2824.xml=1,0;1,0;-1.0
tweets2845.xml=1,0;1,0;-1.0
tweets2438.xml=1,0;1,0;-1.0
tweets2597.xml=1,0;1,0;-1.0
tweets2730.xml=1,0;1,0;-1.0
tweets2334.xml=1,0;0,1;-1.0
tweets2476.xml=1,0;1,0;-1.0
tweets2708.xml=1,0;1,0;-1.0
tweets2818.xml=1,0;0,1;-1.0
tweets2839.xml=1,0;1,0;-1.0
tweets2339.xml=1,0;0,1;-1.0
tweets2510.xml=1,0;0,1;-1.0
tweets2405.xml=1,0;1,0;-1.0
tweets2481.xml=0,1;1,0;-1.0
tweets2911.xml=0,1;1,0;-1.0
tweets2855.xml=1,0;1,0;-1.0
tweets2470.xml=0,1;0,1;-1.0
tweets2900.xml=1,0;1,0;-1.0
tweets2646.xml=1,0;1,0;-1.0
tweets2756.xml=0,1;1,0;-1.0
tweets2794.xml=1,0;1,0;-1.0
tweets2745.xml=1,0;1,0;-1.0
tweets2464.xml=1,0;0,1;-1.0
tweets2817.xml=1,0;1,0;-1.0
tweets2838.xml=1,0;1,0;-1.0
tweets2453.xml=1,0;1,0;-1.0
tweets2788.xml=1,0;1,0;-1.0
tweets2777.xml=1,0;1,0;-1.0
tweets2552.xml=0,1;1,0;-1.0
tweets2496.xml=0,1;0,1;-1.0
tweets2590.xml=1,0;0,1;-1.0
tweets2822.xml=1,0;1,0;-1.0
tweets2859.xml=1,0;1,0;-1.0
tweets2595.xml=0,1;1,0;-1.0
tweets2332.xml=1,0;1,0;-1.0
