#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR
#Tue Dec 22 11:58:35 CET 2015
tweets2574.xml=1,0;1,0;-1.0
tweets2733.xml=1,0;1,0;-1.0
tweets2482.xml=1,0;1,0;-1.0
tweets2639.xml=1,0;1,0;-1.0
tweets2728.xml=1,0;1,0;-1.0
tweets2772.xml=1,0;1,0;-1.0
tweets2785.xml=1,0;1,0;-1.0
tweets2554.xml=1,0;1,0;-1.0
tweets2650.xml=0,1;1,0;-1.0
tweets2894.xml=1,0;1,0;-1.0
tweets2352.xml=1,0;0,1;-1.0
tweets2783.xml=1,0;1,0;-1.0
tweets2537.xml=1,0;1,0;-1.0
tweets2848.xml=1,0;1,0;-1.0
tweets2382.xml=1,0;1,0;-1.0
tweets2833.xml=1,0;0,1;-1.0
tweets2778.xml=1,0;1,0;-1.0
