#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR
#Tue Dec 22 11:57:26 CET 2015
tweets2466.xml=1,0;1,0;-1.0
tweets2586.xml=0,1;0,1;-1.0
tweets2542.xml=1,0;1,0;-1.0
tweets2710.xml=1,0;1,0;-1.0
tweets2509.xml=1,0;1,0;-1.0
tweets2562.xml=1,0;1,0;-1.0
tweets2782.xml=0,1;0,1;-1.0
tweets2650.xml=1,0;1,0;-1.0
tweets2682.xml=1,0;0,1;-1.0
tweets2370.xml=1,0;1,0;-1.0
tweets2382.xml=1,0;1,0;-1.0
tweets2417.xml=1,0;0,1;-1.0
tweets2337.xml=1,0;1,0;-1.0
tweets2757.xml=1,0;1,0;-1.0
tweets2601.xml=1,0;1,0;-1.0
tweets2453.xml=1,0;1,0;-1.0
tweets2581.xml=1,0;1,0;-1.0
tweets2748.xml=1,0;1,0;-1.0
tweets2568.xml=1,0;0,1;-1.0
tweets2536.xml=1,0;1,0;-1.0
tweets2636.xml=1,0;1,0;-1.0
tweets2312.xml=1,0;1,0;-1.0
tweets2576.xml=1,0;1,0;-1.0
tweets2512.xml=1,0;1,0;-1.0
tweets2564.xml=1,0;1,0;-1.0
tweets2532.xml=1,0;1,0;-1.0
tweets2876.xml=1,0;1,0;-1.0
tweets2600.xml=1,0;1,0;-1.0
tweets2319.xml=1,0;1,0;-1.0
tweets2420.xml=1,0;1,0;-1.0
tweets2719.xml=1,0;1,0;-1.0
tweets2592.xml=0,1;0,1;-1.0
tweets2560.xml=1,0;1,0;-1.0
tweets2580.xml=0,1;1,0;-1.0
tweets2499.xml=1,0;0,1;-1.0
tweets2399.xml=0,1;0,1;-1.0
tweets2555.xml=1,0;1,0;-1.0
tweets2423.xml=1,0;1,0;-1.0
tweets2531.xml=1,0;1,0;-1.0
tweets2863.xml=1,0;1,0;-1.0
tweets2551.xml=1,0;1,0;-1.0
tweets2706.xml=0,1;1,0;-1.0
tweets2891.xml=1,0;1,0;-1.0
tweets2758.xml=1,0;1,0;-1.0
