#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR
#Tue Dec 22 11:51:14 CET 2015
tweets2591.xml=1,0;1,0;-1.0
tweets2893.xml=1,0;1,0;-1.0
tweets2643.xml=0,1;0,1;-1.0
tweets2905.xml=1,0;1,0;-1.0
tweets2359.xml=1,0;1,0;-1.0
tweets2814.xml=1,0;1,0;-1.0
tweets2470.xml=0,1;0,1;-1.0
tweets2544.xml=0,1;1,0;-1.0
tweets2833.xml=1,0;0,1;-1.0
tweets2819.xml=0,1;0,1;-1.0
tweets2322.xml=1,0;1,0;-1.0
tweets2821.xml=1,0;0,1;-1.0
tweets2904.xml=1,0;1,0;-1.0
tweets2314.xml=1,0;1,0;-1.0
tweets2626.xml=1,0;1,0;-1.0
tweets2906.xml=1,0;1,0;-1.0
tweets2517.xml=1,0;0,1;-1.0
tweets2682.xml=0,1;0,1;-1.0
tweets2450.xml=0,1;0,1;-1.0
