#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR
#Mon Dec 28 14:27:25 CET 2015
tweets892.xml=0,1;0,1;-1.0
tweets806.xml=0,1;1,0;-1.0
tweets661.xml=0,1;0,1;-1.0
tweets884.xml=0,1;1,0;-1.0
tweets653.xml=0,1;1,0;-1.0
tweets876.xml=0,1;1,0;-1.0
tweets645.xml=0,1;0,1;-1.0
tweets900.xml=0,1;0,1;-1.0
tweets868.xml=0,1;1,0;-1.0
tweets637.xml=0,1;0,1;-1.0
tweets970.xml=0,1;1,0;-1.0
tweets629.xml=0,1;0,1;-1.0
tweets962.xml=0,1;1,0;-1.0
tweets954.xml=0,1;1,0;-1.0
tweets699.xml=0,1;0,1;-1.0
tweets731.xml=0,1;1,0;-1.0
tweets723.xml=0,1;1,0;-1.0
tweets946.xml=1,0;1,0;-1.0
tweets1002.xml=0,1;0,1;-1.0
tweets715.xml=0,1;0,1;-1.0
tweets938.xml=0,1;1,0;-1.0
tweets793.xml=0,1;1,0;-1.0
tweets707.xml=0,1;0,1;-1.0
tweets785.xml=0,1;0,1;-1.0
tweets777.xml=0,1;0,1;-1.0
tweets769.xml=0,1;1,0;-1.0
tweets821.xml=0,1;0,1;-1.0
tweets813.xml=0,1;0,1;-1.0
tweets891.xml=0,1;0,1;-1.0
tweets805.xml=0,1;1,0;-1.0
tweets883.xml=0,1;1,0;-1.0
tweets660.xml=0,1;1,0;-1.0
tweets652.xml=0,1;0,1;-1.0
tweets875.xml=0,1;1,0;-1.0
tweets644.xml=0,1;1,0;-1.0
tweets867.xml=0,1;1,0;-1.0
tweets636.xml=0,1;1,0;-1.0
tweets859.xml=0,1;0,1;-1.0
tweets628.xml=0,1;0,1;-1.0
tweets961.xml=0,1;1,0;-1.0
tweets953.xml=0,1;1,0;-1.0
tweets730.xml=0,1;1,0;-1.0
tweets698.xml=0,1;0,1;-1.0
tweets945.xml=0,1;1,0;-1.0
tweets722.xml=0,1;0,1;-1.0
tweets1001.xml=0,1;0,1;-1.0
tweets714.xml=0,1;1,0;-1.0
tweets937.xml=0,1;0,1;-1.0
tweets792.xml=0,1;0,1;-1.0
tweets706.xml=0,1;1,0;-1.0
tweets929.xml=0,1;0,1;-1.0
tweets784.xml=0,1;1,0;-1.0
tweets776.xml=0,1;0,1;-1.0
tweets999.xml=0,1;1,0;-1.0
tweets768.xml=0,1;0,1;-1.0
tweets820.xml=0,1;0,1;-1.0
tweets812.xml=0,1;0,1;-1.0
tweets890.xml=0,1;0,1;-1.0
tweets804.xml=0,1;0,1;-1.0
tweets882.xml=0,1;0,1;-1.0
tweets651.xml=0,1;0,1;-1.0
tweets874.xml=0,1;0,1;-1.0
tweets866.xml=0,1;1,0;-1.0
tweets643.xml=0,1;1,0;-1.0
tweets635.xml=0,1;0,1;-1.0
tweets858.xml=0,1;1,0;-1.0
tweets627.xml=0,1;0,1;-1.0
tweets960.xml=0,1;0,1;-1.0
tweets619.xml=0,1;0,1;-1.0
tweets952.xml=0,1;1,0;-1.0
tweets697.xml=0,1;1,0;-1.0
tweets689.xml=0,1;1,0;-1.0
tweets944.xml=0,1;0,1;-1.0
tweets721.xml=0,1;0,1;-1.0
tweets1000.xml=0,1;0,1;-1.0
tweets713.xml=0,1;0,1;-1.0
tweets936.xml=0,1;0,1;-1.0
tweets791.xml=0,1;1,0;-1.0
tweets705.xml=0,1;0,1;-1.0
tweets928.xml=0,1;0,1;-1.0
tweets783.xml=0,1;1,0;-1.0
tweets775.xml=0,1;0,1;-1.0
tweets998.xml=0,1;1,0;-1.0
tweets767.xml=0,1;1,0;-1.0
tweets759.xml=0,1;1,0;-1.0
tweets811.xml=0,1;0,1;-1.0
tweets803.xml=0,1;1,0;-1.0
tweets881.xml=0,1;0,1;-1.0
tweets650.xml=0,1;1,0;-1.0
tweets873.xml=0,1;0,1;-1.0
tweets642.xml=0,1;0,1;-1.0
