#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR 2=NONE
#Thu Apr 28 16:42:04 CEST 2016
tweets370.xml=0,0,1;0,0,1;-1.0
10102.xml=0,0,1;0,0,1;-1.0
10043.xml=0,0,1;0,0,1;-1.0
10208.xml=0,0,1;0,0,1;-1.0
tweets120.xml=0,0,1;0,0,1;-1.0
tweets587.xml=0,0,1;0,0,1;-1.0
tweets278.xml=0,0,1;0,0,1;-1.0
tweets331.xml=0,0,1;0,0,1;-1.0
10004.xml=0,0,1;0,0,1;-1.0
tweets548.xml=0,0,1;0,0,1;-1.0
tweets489.xml=0,0,1;0,0,1;-1.0
tweets601.xml=0,0,1;0,0,1;-1.0
tweets239.xml=0,0,1;0,0,1;-1.0
10050.xml=0,0,1;0,0,1;-1.0
10215.xml=0,0,1;0,0,1;-1.0
tweets594.xml=0,0,1;0,0,1;-1.0
tweets509.xml=0,0,1;0,0,1;-1.0
tweets285.xml=0,0,1;0,0,1;-1.0
10011.xml=0,0,1;0,0,1;-1.0
tweets555.xml=0,0,1;0,0,1;-1.0
tweets496.xml=0,0,1;0,0,1;-1.0
10169.xml=0,0,1;0,0,1;-1.0
tweets305.xml=0,0,1;0,0,1;-1.0
tweets246.xml=0,0,1;0,0,1;-1.0
tweets187.xml=0,0,1;0,0,1;-1.0
tweets516.xml=0,0,1;0,0,1;-1.0
tweets292.xml=0,0,1;0,0,1;-1.0
tweets457.xml=0,0,1;0,0,1;-1.0
tweets398.xml=0,0,1;0,0,1;-1.0
tweets207.xml=0,0,1;0,0,1;-1.0
tweets148.xml=0,0,1;0,0,1;-1.0
tweets562.xml=0,0,1;0,0,1;-1.0
10176.xml=0,0,1;0,0,1;-1.0
tweets312.xml=0,0,1;0,0,1;-1.0
tweets418.xml=0,0,1;0,0,1;-1.0
tweets253.xml=0,0,1;0,0,1;-1.0
tweets194.xml=0,0,1;0,0,1;-1.0
tweets359.xml=0,0,1;0,0,1;-1.0
tweets109.xml=0,0,1;0,0,1;-1.0
tweets523.xml=0,0,1;0,0,1;-1.0
tweets464.xml=0,0,1;0,0,1;-1.0
10137.xml=0,0,1;0,0,1;-1.0
10078.xml=0,0,1;0,0,1;-1.0
tweets214.xml=0,0,1;0,0,1;-1.0
tweets155.xml=0,0,1;0,0,1;-1.0
10183.xml=0,0,1;0,0,1;-1.0
tweets425.xml=0,0,1;0,0,1;-1.0
tweets260.xml=0,0,1;0,0,1;-1.0
tweets366.xml=0,0,1;0,0,1;-1.0
10039.xml=0,0,1;0,0,1;-1.0
tweets116.xml=0,0,1;0,0,1;-1.0
tweets530.xml=0,0,1;0,0,1;-1.0
tweets471.xml=0,0,1;0,0,1;-1.0
10144.xml=0,0,1;0,0,1;-1.0
