#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=FAVOR 1=NONE
2_309=0,1;0,1;-1.0
0_77=1,0;0,1;-1.0
3_480=1,0;0,1;-1.0
2_328=0,1;0,1;-1.0
5_779=0,1;0,1;-1.0
3_526=0,1;0,1;-1.0
2_313=0,1;0,1;-1.0
3_462=0,1;0,1;-1.0
5_780=0,1;0,1;-1.0
2_365=1,0;0,1;-1.0
4_661=0,1;0,1;-1.0
2_367=1,0;0,1;-1.0
2_291=0,1;0,1;-1.0
3_457=0,1;0,1;-1.0
3_512=1,0;0,1;-1.0
2_275=1,0;0,1;-1.0
3_425=0,1;0,1;-1.0
0_91=1,0;0,1;-1.0
2_380=0,1;0,1;-1.0
0_126=1,0;0,1;-1.0
1_152=1,0;0,1;-1.0
2_254=0,1;0,1;-1.0
1_162=0,1;0,1;-1.0
2_300=0,1;0,1;-1.0
3_573=1,0;0,1;-1.0
4_617=0,1;0,1;-1.0
0_47=0,1;0,1;-1.0
4_655=1,0;0,1;-1.0
2_272=1,0;0,1;-1.0
5_723=1,0;0,1;-1.0
0_63=0,1;0,1;-1.0
2_357=0,1;0,1;-1.0
2_322=0,1;0,1;-1.0
4_599=1,0;0,1;-1.0
1_166=0,1;0,1;-1.0
3_472=0,1;0,1;-1.0
2_383=0,1;0,1;-1.0
3_441=0,1;0,1;-1.0
2_335=0,1;0,1;-1.0
2_311=1,0;0,1;-1.0
3_465=0,1;0,1;-1.0
5_794=0,1;0,1;-1.0
0_121=1,0;0,1;-1.0
3_414=0,1;0,1;-1.0
2_282=1,0;0,1;-1.0
3_442=1,0;0,1;-1.0
5_752=1,0;0,1;-1.0
1_238=1,0;0,1;-1.0
3_473=0,1;0,1;-1.0
1_249=1,0;0,1;-1.0
3_569=0,1;0,1;-1.0
1_141=0,1;0,1;-1.0
3_410=0,1;0,1;-1.0
3_487=0,1;0,1;-1.0
3_460=1,0;0,1;-1.0
2_325=0,1;0,1;-1.0
3_547=1,0;0,1;-1.0
4_665=0,1;0,1;-1.0
1_251=1,0;0,1;-1.0
5_727=1,0;1,0;-1.0
0_44=1,0;0,1;-1.0
4_600=0,1;0,1;-1.0
2_352=0,1;0,1;-1.0
0_131=1,0;0,1;-1.0
1_221=1,0;0,1;-1.0
0_25=0,1;0,1;-1.0
4_687=0,1;0,1;-1.0
2_360=0,1;0,1;-1.0
1_176=1,0;0,1;-1.0
4_646=0,1;0,1;-1.0
1_183=0,1;0,1;-1.0
3_554=0,1;0,1;-1.0
1_212=0,1;0,1;-1.0
3_424=0,1;0,1;-1.0
3_496=0,1;0,1;-1.0
0_33=0,1;0,1;-1.0
3_482=1,0;0,1;-1.0
1_149=0,1;0,1;-1.0
0_24=0,1;0,1;-1.0
3_531=1,0;0,1;-1.0
3_497=0,1;0,1;-1.0
3_448=1,0;0,1;-1.0
5_743=0,1;0,1;-1.0
3_466=1,0;0,1;-1.0
0_55=0,1;0,1;-1.0
5_704=0,1;0,1;-1.0
5_750=1,0;0,1;-1.0
5_809=0,1;0,1;-1.0
2_262=0,1;0,1;-1.0
0_123=1,0;0,1;-1.0
2_308=0,1;0,1;-1.0
3_449=1,0;0,1;-1.0
0_99=1,0;0,1;-1.0
1_213=1,0;0,1;-1.0
4_604=0,1;0,1;-1.0
1_199=0,1;0,1;-1.0
0_61=0,1;0,1;-1.0
1_205=0,1;0,1;-1.0
3_401=0,1;0,1;-1.0
3_458=0,1;0,1;-1.0
4_649=1,0;0,1;-1.0
2_358=0,1;0,1;-1.0
1_177=1,0;0,1;-1.0
5_753=0,1;0,1;-1.0
1_170=0,1;0,1;-1.0
3_418=0,1;0,1;-1.0
5_716=0,1;0,1;-1.0
0_108=0,1;0,1;-1.0
3_470=1,0;0,1;-1.0
4_589=1,0;0,1;-1.0
3_430=1,0;0,1;-1.0
4_688=1,0;0,1;-1.0
5_703=0,1;0,1;-1.0
5_770=1,0;0,1;-1.0
0_9=0,1;0,1;-1.0
4_644=0,1;0,1;-1.0
0_104=1,0;0,1;-1.0
2_252=0,1;0,1;-1.0
2_366=0,1;0,1;-1.0
3_522=0,1;0,1;-1.0
5_746=1,0;0,1;-1.0
2_394=0,1;0,1;-1.0
4_696=1,0;0,1;-1.0
5_728=1,0;0,1;-1.0
0_38=0,1;0,1;-1.0
3_413=0,1;0,1;-1.0
3_468=0,1;0,1;-1.0
3_464=1,0;0,1;-1.0
3_423=1,0;0,1;-1.0
4_623=0,1;0,1;-1.0
3_579=0,1;0,1;-1.0
5_705=1,0;0,1;-1.0
0_7=1,0;0,1;-1.0
0_39=1,0;0,1;-1.0
2_356=0,1;0,1;-1.0
1_142=0,1;0,1;-1.0
2_306=1,0;0,1;-1.0
1_151=0,1;0,1;-1.0
4_629=0,1;0,1;-1.0
4_602=0,1;0,1;-1.0
2_288=0,1;0,1;-1.0
1_242=1,0;0,1;-1.0
1_211=0,1;0,1;-1.0
1_195=0,1;0,1;-1.0
1_167=0,1;0,1;-1.0
2_294=0,1;0,1;-1.0
5_711=0,1;0,1;-1.0
4_625=0,1;0,1;-1.0
5_720=1,0;0,1;-1.0
0_89=1,0;0,1;-1.0
5_813=0,1;0,1;-1.0
3_443=0,1;0,1;-1.0
1_175=1,0;0,1;-1.0
4_647=0,1;0,1;-1.0
3_488=0,1;0,1;-1.0
3_550=1,0;0,1;-1.0
1_215=0,1;0,1;-1.0
1_178=0,1;0,1;-1.0
4_645=0,1;0,1;-1.0
5_792=1,0;0,1;-1.0
3_417=0,1;0,1;-1.0
0_57=1,0;0,1;-1.0
4_654=1,0;0,1;-1.0
4_676=1,0;0,1;-1.0
4_632=0,1;0,1;-1.0
5_807=0,1;0,1;-1.0
3_544=0,1;0,1;-1.0
4_606=0,1;0,1;-1.0
1_206=1,0;0,1;-1.0
2_390=1,0;0,1;-1.0
3_492=1,0;0,1;-1.0
5_764=1,0;0,1;-1.0
3_572=0,1;0,1;-1.0
5_788=1,0;0,1;-1.0
3_407=1,0;1,0;-1.0
4_591=0,1;0,1;-1.0
5_734=0,1;0,1;-1.0
3_577=0,1;0,1;-1.0
0_56=0,1;0,1;-1.0
