#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=NONE 1=PRESENT
1_202=1,0;1,0;-1.0
3_421=1,0;1,0;-1.0
0_73=1,0;1,0;-1.0
4_607=0,1;1,0;-1.0
3_456=0,1;1,0;-1.0
4_605=0,1;1,0;-1.0
1_152=1,0;1,0;-1.0
5_749=1,0;1,0;-1.0
4_612=1,0;1,0;-1.0
5_757=1,0;1,0;-1.0
1_251=1,0;1,0;-1.0
5_733=1,0;1,0;-1.0
3_435=0,1;1,0;-1.0
0_5=1,0;1,0;-1.0
5_750=0,1;1,0;-1.0
3_532=1,0;1,0;-1.0
5_751=1,0;1,0;-1.0
4_613=1,0;1,0;-1.0
0_12=1,0;1,0;-1.0
5_754=0,1;1,0;-1.0
1_139=1,0;1,0;-1.0
3_563=0,1;1,0;-1.0
5_803=1,0;1,0;-1.0
2_365=1,0;1,0;-1.0
1_232=0,1;1,0;-1.0
0_18=1,0;1,0;-1.0
5_752=1,0;1,0;-1.0
2_260=1,0;1,0;-1.0
4_664=0,1;0,1;-1.0
5_753=1,0;1,0;-1.0
2_311=1,0;1,0;-1.0
5_782=1,0;1,0;-1.0
1_196=0,1;1,0;-1.0
1_208=1,0;1,0;-1.0
1_180=1,0;1,0;-1.0
4_637=0,1;1,0;-1.0
5_737=0,1;1,0;-1.0
3_518=1,0;1,0;-1.0
5_743=1,0;1,0;-1.0
2_357=1,0;1,0;-1.0
2_347=1,0;1,0;-1.0
4_698=1,0;1,0;-1.0
1_192=1,0;1,0;-1.0
5_797=1,0;1,0;-1.0
3_515=1,0;1,0;-1.0
1_221=1,0;1,0;-1.0
4_603=1,0;1,0;-1.0
1_146=1,0;1,0;-1.0
3_491=1,0;1,0;-1.0
5_710=1,0;1,0;-1.0
4_630=0,1;1,0;-1.0
3_470=1,0;1,0;-1.0
5_731=1,0;1,0;-1.0
2_351=1,0;1,0;-1.0
2_259=1,0;1,0;-1.0
2_301=0,1;0,1;-1.0
1_215=1,0;1,0;-1.0
3_469=1,0;1,0;-1.0
2_373=1,0;1,0;-1.0
3_472=0,1;1,0;-1.0
2_318=1,0;1,0;-1.0
3_488=1,0;1,0;-1.0
1_194=0,1;1,0;-1.0
3_497=0,1;1,0;-1.0
2_329=1,0;1,0;-1.0
2_283=0,1;1,0;-1.0
2_317=1,0;1,0;-1.0
0_97=1,0;1,0;-1.0
3_402=1,0;1,0;-1.0
0_26=0,1;1,0;-1.0
3_413=1,0;1,0;-1.0
5_741=1,0;1,0;-1.0
3_400=1,0;1,0;-1.0
3_439=1,0;1,0;-1.0
0_60=1,0;1,0;-1.0
5_778=0,1;1,0;-1.0
3_528=1,0;1,0;-1.0
4_648=1,0;1,0;-1.0
3_482=0,1;1,0;-1.0
4_616=0,1;1,0;-1.0
0_41=1,0;1,0;-1.0
3_424=0,1;1,0;-1.0
3_505=1,0;1,0;-1.0
2_303=1,0;1,0;-1.0
1_218=1,0;1,0;-1.0
3_517=1,0;1,0;-1.0
5_775=1,0;1,0;-1.0
0_118=0,1;1,0;-1.0
5_779=1,0;1,0;-1.0
2_374=0,1;1,0;-1.0
0_131=0,1;1,0;-1.0
2_369=0,1;1,0;-1.0
5_762=0,1;1,0;-1.0
2_395=1,0;1,0;-1.0
3_529=0,1;1,0;-1.0
0_31=1,0;1,0;-1.0
3_512=0,1;1,0;-1.0
3_485=1,0;1,0;-1.0
3_466=1,0;1,0;-1.0
2_270=1,0;1,0;-1.0
1_158=1,0;1,0;-1.0
5_704=0,1;1,0;-1.0
1_206=1,0;1,0;-1.0
0_99=1,0;1,0;-1.0
2_377=1,0;1,0;-1.0
4_669=1,0;1,0;-1.0
0_3=1,0;1,0;-1.0
2_292=1,0;1,0;-1.0
0_6=1,0;1,0;-1.0
3_426=1,0;1,0;-1.0
4_591=1,0;1,0;-1.0
3_461=1,0;1,0;-1.0
2_302=1,0;1,0;-1.0
2_383=1,0;1,0;-1.0
1_172=1,0;1,0;-1.0
2_355=1,0;1,0;-1.0
5_722=1,0;1,0;-1.0
4_625=0,1;1,0;-1.0
5_760=1,0;1,0;-1.0
2_289=0,1;1,0;-1.0
1_245=1,0;1,0;-1.0
2_324=1,0;1,0;-1.0
2_253=1,0;1,0;-1.0
4_610=0,1;1,0;-1.0
0_53=1,0;1,0;-1.0
3_564=0,1;1,0;-1.0
0_52=1,0;1,0;-1.0
2_295=1,0;1,0;-1.0
3_521=1,0;1,0;-1.0
4_602=1,0;1,0;-1.0
0_78=1,0;1,0;-1.0
3_551=1,0;1,0;-1.0
0_119=1,0;1,0;-1.0
0_69=0,1;1,0;-1.0
4_693=1,0;1,0;-1.0
5_758=0,1;1,0;-1.0
2_375=1,0;1,0;-1.0
5_788=1,0;1,0;-1.0
3_415=0,1;1,0;-1.0
3_501=0,1;1,0;-1.0
3_495=1,0;1,0;-1.0
2_379=1,0;1,0;-1.0
0_111=0,1;1,0;-1.0
4_600=0,1;1,0;-1.0
4_640=1,0;1,0;-1.0
3_504=0,1;1,0;-1.0
3_452=1,0;1,0;-1.0
2_323=0,1;1,0;-1.0
2_257=1,0;1,0;-1.0
3_445=1,0;1,0;-1.0
0_50=1,0;1,0;-1.0
2_321=1,0;1,0;-1.0
1_225=1,0;1,0;-1.0
2_384=1,0;1,0;-1.0
2_397=1,0;1,0;-1.0
5_712=1,0;1,0;-1.0
1_177=1,0;1,0;-1.0
1_203=0,1;1,0;-1.0
0_107=0,1;1,0;-1.0
0_47=1,0;1,0;-1.0
3_459=1,0;1,0;-1.0
5_702=1,0;1,0;-1.0
1_160=1,0;1,0;-1.0
3_522=1,0;1,0;-1.0
3_503=0,1;1,0;-1.0
2_298=0,1;1,0;-1.0
0_125=1,0;1,0;-1.0
4_634=1,0;1,0;-1.0
1_157=1,0;1,0;-1.0
0_71=0,1;1,0;-1.0
5_718=0,1;1,0;-1.0
2_252=0,1;1,0;-1.0
2_334=1,0;1,0;-1.0
3_405=0,1;1,0;-1.0
1_241=0,1;1,0;-1.0
3_418=1,0;1,0;-1.0
3_408=0,1;1,0;-1.0
5_734=0,1;1,0;-1.0
3_425=0,1;1,0;-1.0
2_394=0,1;1,0;-1.0
5_761=1,0;1,0;-1.0
4_588=1,0;1,0;-1.0
5_726=0,1;1,0;-1.0
3_558=0,1;1,0;-1.0
2_345=1,0;1,0;-1.0
3_444=1,0;1,0;-1.0
1_238=1,0;1,0;-1.0
1_243=1,0;1,0;-1.0
2_367=1,0;1,0;-1.0
5_728=0,1;1,0;-1.0
4_697=1,0;1,0;-1.0
2_307=1,0;1,0;-1.0
0_104=1,0;1,0;-1.0
1_142=1,0;1,0;-1.0
1_222=1,0;1,0;-1.0
3_567=1,0;1,0;-1.0
4_584=0,1;1,0;-1.0
1_149=0,1;1,0;-1.0
4_583=1,0;1,0;-1.0
4_651=0,1;1,0;-1.0
4_683=1,0;1,0;-1.0
5_807=0,1;1,0;-1.0
5_735=1,0;1,0;-1.0
0_48=1,0;1,0;-1.0
2_352=1,0;1,0;-1.0
1_185=0,1;0,1;-1.0
