#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=NONE 1=PRESENT
1_138=1,0;1,0;-1.0
1_201=0,1;1,0;-1.0
0_17=0,1;1,0;-1.0
3_528=1,0;1,0;-1.0
4_674=1,0;1,0;-1.0
1_170=1,0;1,0;-1.0
2_298=1,0;1,0;-1.0
3_448=1,0;1,0;-1.0
2_294=1,0;1,0;-1.0
3_439=1,0;1,0;-1.0
2_347=1,0;1,0;-1.0
0_3=1,0;1,0;-1.0
1_238=0,1;1,0;-1.0
1_179=0,1;1,0;-1.0
4_628=1,0;1,0;-1.0
3_415=0,1;1,0;-1.0
3_445=1,0;1,0;-1.0
5_746=1,0;1,0;-1.0
0_12=1,0;1,0;-1.0
0_9=0,1;0,1;-1.0
0_20=1,0;1,0;-1.0
3_530=0,1;1,0;-1.0
4_636=1,0;1,0;-1.0
4_684=1,0;1,0;-1.0
4_613=1,0;1,0;-1.0
1_156=1,0;1,0;-1.0
5_700=1,0;1,0;-1.0
1_207=0,1;1,0;-1.0
3_444=1,0;1,0;-1.0
3_460=1,0;1,0;-1.0
4_672=1,0;1,0;-1.0
0_24=1,0;1,0;-1.0
1_194=1,0;1,0;-1.0
3_515=1,0;1,0;-1.0
4_678=1,0;1,0;-1.0
1_181=1,0;1,0;-1.0
4_686=1,0;1,0;-1.0
1_213=1,0;1,0;-1.0
2_344=1,0;1,0;-1.0
0_33=1,0;1,0;-1.0
2_310=1,0;0,1;-1.0
1_228=1,0;1,0;-1.0
0_39=1,0;1,0;-1.0
3_561=1,0;1,0;-1.0
2_341=1,0;1,0;-1.0
3_564=1,0;1,0;-1.0
4_694=1,0;1,0;-1.0
5_720=1,0;1,0;-1.0
5_702=1,0;1,0;-1.0
0_29=1,0;1,0;-1.0
5_794=1,0;1,0;-1.0
0_4=0,1;1,0;-1.0
1_163=1,0;1,0;-1.0
0_42=1,0;1,0;-1.0
3_498=1,0;1,0;-1.0
4_679=0,1;1,0;-1.0
0_114=1,0;1,0;-1.0
1_198=1,0;1,0;-1.0
2_393=1,0;1,0;-1.0
5_812=1,0;1,0;-1.0
3_489=1,0;1,0;-1.0
4_689=0,1;1,0;-1.0
3_435=1,0;1,0;-1.0
3_403=1,0;1,0;-1.0
3_518=1,0;1,0;-1.0
3_472=1,0;1,0;-1.0
5_742=1,0;1,0;-1.0
5_772=1,0;1,0;-1.0
3_574=1,0;1,0;-1.0
0_129=1,0;1,0;-1.0
3_421=1,0;1,0;-1.0
5_818=1,0;1,0;-1.0
2_280=0,1;1,0;-1.0
0_36=1,0;1,0;-1.0
3_563=0,1;1,0;-1.0
0_117=1,0;1,0;-1.0
2_375=1,0;1,0;-1.0
1_202=0,1;1,0;-1.0
5_784=1,0;1,0;-1.0
1_141=1,0;1,0;-1.0
0_10=1,0;1,0;-1.0
3_512=1,0;1,0;-1.0
1_180=0,1;1,0;-1.0
4_664=1,0;1,0;-1.0
0_52=1,0;1,0;-1.0
2_281=1,0;1,0;-1.0
2_373=1,0;1,0;-1.0
5_752=1,0;1,0;-1.0
0_123=1,0;1,0;-1.0
1_143=0,1;1,0;-1.0
5_766=0,1;1,0;-1.0
1_169=1,0;1,0;-1.0
2_276=1,0;1,0;-1.0
5_721=1,0;1,0;-1.0
4_666=0,1;1,0;-1.0
2_256=1,0;1,0;-1.0
5_816=1,0;1,0;-1.0
2_359=1,0;1,0;-1.0
5_719=1,0;1,0;-1.0
4_615=0,1;1,0;-1.0
1_137=1,0;1,0;-1.0
5_718=1,0;1,0;-1.0
0_41=1,0;1,0;-1.0
3_540=1,0;1,0;-1.0
2_317=1,0;1,0;-1.0
3_551=1,0;1,0;-1.0
1_226=0,1;1,0;-1.0
1_175=1,0;1,0;-1.0
5_802=1,0;1,0;-1.0
3_411=1,0;1,0;-1.0
