#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=LSTM 1=NOPREF 2=SVM
4_601=0,1,0;0,0,1;-1.0
4_679=0,1,0;0,1,0;-1.0
0_31=0,1,0;0,1,0;-1.0
3_539=0,1,0;0,1,0;-1.0
5_797=0,0,1;1,0,0;-1.0
4_630=0,1,0;1,0,0;-1.0
5_781=0,1,0;0,0,1;-1.0
0_76=0,1,0;0,1,0;-1.0
5_760=0,1,0;0,1,0;-1.0
3_449=0,1,0;1,0,0;-1.0
4_637=1,0,0;0,1,0;-1.0
4_620=0,1,0;1,0,0;-1.0
2_338=1,0,0;0,1,0;-1.0
5_780=0,1,0;0,1,0;-1.0
5_796=0,1,0;0,1,0;-1.0
3_454=0,0,1;0,0,1;-1.0
1_233=0,1,0;1,0,0;-1.0
4_675=1,0,0;0,1,0;-1.0
0_91=0,1,0;0,1,0;-1.0
1_242=0,1,0;0,0,1;-1.0
5_726=1,0,0;0,0,1;-1.0
2_373=0,1,0;0,1,0;-1.0
3_509=0,1,0;0,1,0;-1.0
3_549=0,1,0;0,1,0;-1.0
1_171=0,1,0;0,1,0;-1.0
5_755=0,1,0;0,0,1;-1.0
5_746=0,0,1;0,1,0;-1.0
2_294=0,1,0;0,1,0;-1.0
5_756=0,1,0;0,1,0;-1.0
4_625=0,1,0;0,1,0;-1.0
2_365=0,1,0;1,0,0;-1.0
1_141=0,1,0;0,1,0;-1.0
3_474=0,1,0;0,1,0;-1.0
4_592=0,1,0;0,0,1;-1.0
0_4=0,0,1;0,1,0;-1.0
3_554=0,1,0;0,1,0;-1.0
3_452=0,1,0;0,1,0;-1.0
0_113=0,1,0;0,1,0;-1.0
5_749=0,1,0;0,0,1;-1.0
3_500=0,1,0;0,1,0;-1.0
3_468=0,1,0;1,0,0;-1.0
4_614=0,1,0;0,1,0;-1.0
4_609=0,1,0;0,1,0;-1.0
1_226=0,1,0;0,1,0;-1.0
1_192=0,1,0;1,0,0;-1.0
1_245=0,0,1;0,1,0;-1.0
1_232=0,0,1;1,0,0;-1.0
4_680=0,1,0;0,0,1;-1.0
4_687=0,0,1;0,1,0;-1.0
5_785=0,1,0;0,1,0;-1.0
0_55=0,1,0;0,1,0;-1.0
2_381=0,1,0;0,1,0;-1.0
5_803=0,1,0;1,0,0;-1.0
5_805=0,1,0;0,1,0;-1.0
5_809=0,1,0;0,1,0;-1.0
0_70=0,1,0;1,0,0;-1.0
4_591=0,1,0;1,0,0;-1.0
4_607=1,0,0;0,0,1;-1.0
2_352=0,0,1;1,0,0;-1.0
0_100=0,1,0;0,1,0;-1.0
0_1=1,0,0;0,1,0;-1.0
3_553=0,1,0;0,1,0;-1.0
1_143=1,0,0;1,0,0;-1.0
4_647=0,1,0;0,0,1;-1.0
2_393=0,1,0;0,1,0;-1.0
0_128=0,1,0;0,1,0;-1.0
4_681=0,1,0;0,1,0;-1.0
4_617=0,1,0;0,1,0;-1.0
3_501=0,1,0;0,1,0;-1.0
4_693=0,1,0;0,1,0;-1.0
2_291=0,1,0;0,0,1;-1.0
3_446=0,1,0;0,1,0;-1.0
4_586=0,1,0;1,0,0;-1.0
2_363=0,1,0;0,1,0;-1.0
5_714=0,0,1;0,1,0;-1.0
3_518=0,1,0;0,1,0;-1.0
4_656=0,1,0;0,1,0;-1.0
2_395=0,1,0;0,1,0;-1.0
3_469=0,0,1;0,0,1;-1.0
3_450=0,1,0;0,1,0;-1.0
3_529=0,1,0;0,1,0;-1.0
3_445=0,1,0;0,1,0;-1.0
5_782=0,1,0;0,0,1;-1.0
3_512=0,1,0;0,1,0;-1.0
2_265=1,0,0;0,0,1;-1.0
3_534=0,1,0;0,1,0;-1.0
0_49=0,1,0;0,1,0;-1.0
3_447=0,1,0;0,1,0;-1.0
0_15=0,1,0;0,1,0;-1.0
4_685=0,1,0;0,1,0;-1.0
2_266=0,1,0;0,0,1;-1.0
2_263=0,1,0;0,1,0;-1.0
3_421=0,1,0;0,1,0;-1.0
2_384=0,1,0;0,1,0;-1.0
3_459=0,1,0;0,1,0;-1.0
2_386=0,1,0;0,1,0;-1.0
2_341=0,1,0;0,1,0;-1.0
1_145=0,1,0;0,1,0;-1.0
0_63=0,1,0;0,1,0;-1.0
3_508=0,0,1;0,0,1;-1.0
2_322=0,1,0;0,0,1;-1.0
5_704=0,1,0;0,1,0;-1.0
4_673=0,0,1;1,0,0;-1.0
1_200=0,1,0;0,1,0;-1.0
4_696=0,1,0;0,1,0;-1.0
5_727=1,0,0;1,0,0;-1.0
5_741=1,0,0;0,1,0;-1.0
5_792=0,1,0;0,0,1;-1.0
4_642=0,1,0;0,1,0;-1.0
0_112=0,1,0;0,1,0;-1.0
1_181=1,0,0;0,0,1;-1.0
5_815=0,1,0;0,1,0;-1.0
3_580=0,1,0;0,1,0;-1.0
1_162=0,0,1;0,1,0;-1.0
5_752=0,1,0;0,1,0;-1.0
2_272=1,0,0;0,1,0;-1.0
3_400=0,1,0;0,1,0;-1.0
2_345=0,1,0;0,1,0;-1.0
1_168=0,1,0;1,0,0;-1.0
2_292=0,1,0;0,1,0;-1.0
4_638=0,1,0;1,0,0;-1.0
0_69=0,1,0;1,0,0;-1.0
0_73=0,1,0;0,1,0;-1.0
5_718=1,0,0;0,1,0;-1.0
2_318=0,1,0;0,1,0;-1.0
5_724=1,0,0;0,1,0;-1.0
0_136=0,1,0;1,0,0;-1.0
3_415=0,1,0;0,0,1;-1.0
5_813=1,0,0;0,0,1;-1.0
5_794=1,0,0;1,0,0;-1.0
1_176=0,1,0;0,0,1;-1.0
5_701=0,1,0;0,1,0;-1.0
2_261=0,0,1;0,1,0;-1.0
0_75=0,1,0;0,1,0;-1.0
3_435=0,1,0;1,0,0;-1.0
4_615=0,0,1;0,1,0;-1.0
3_407=0,1,0;0,0,1;-1.0
2_348=0,1,0;1,0,0;-1.0
4_626=1,0,0;0,1,0;-1.0
1_206=0,1,0;0,0,1;-1.0
4_639=0,1,0;0,0,1;-1.0
3_485=0,1,0;0,1,0;-1.0
1_209=1,0,0;0,1,0;-1.0
3_502=1,0,0;0,1,0;-1.0
3_521=0,1,0;0,1,0;-1.0
5_801=0,0,1;0,1,0;-1.0
2_392=0,1,0;0,1,0;-1.0
4_632=0,1,0;0,1,0;-1.0
0_98=0,1,0;0,0,1;-1.0
5_783=0,1,0;0,1,0;-1.0
4_593=0,0,1;0,1,0;-1.0
3_510=0,1,0;0,1,0;-1.0
3_464=0,1,0;0,0,1;-1.0
2_374=0,1,0;0,1,0;-1.0
3_505=0,1,0;1,0,0;-1.0
3_575=0,1,0;0,1,0;-1.0
3_484=0,1,0;0,1,0;-1.0
5_730=1,0,0;0,0,1;-1.0
0_38=0,1,0;0,1,0;-1.0
5_802=0,1,0;1,0,0;-1.0
3_544=0,1,0;0,1,0;-1.0
0_74=0,1,0;0,1,0;-1.0
0_41=0,1,0;1,0,0;-1.0
0_50=0,1,0;0,0,1;-1.0
3_453=1,0,0;1,0,0;-1.0
2_371=0,1,0;0,0,1;-1.0
1_167=0,1,0;0,1,0;-1.0
0_40=1,0,0;1,0,0;-1.0
2_350=0,1,0;0,1,0;-1.0
3_480=0,1,0;0,1,0;-1.0
2_259=0,1,0;1,0,0;-1.0
2_349=0,1,0;0,1,0;-1.0
2_315=0,1,0;0,0,1;-1.0
4_661=0,1,0;0,1,0;-1.0
1_172=0,1,0;0,1,0;-1.0
2_312=0,1,0;1,0,0;-1.0
3_442=1,0,0;0,1,0;-1.0
3_482=0,1,0;0,1,0;-1.0
4_623=0,1,0;0,0,1;-1.0
0_90=1,0,0;0,0,1;-1.0
1_220=0,1,0;0,0,1;-1.0
4_619=0,1,0;0,1,0;-1.0
2_354=0,1,0;1,0,0;-1.0
1_198=0,1,0;0,1,0;-1.0
2_287=0,0,1;0,1,0;-1.0
0_125=0,1,0;0,1,0;-1.0
4_616=0,1,0;0,0,1;-1.0
3_475=0,1,0;0,1,0;-1.0
3_579=1,0,0;0,1,0;-1.0
3_546=1,0,0;0,1,0;-1.0
1_215=0,1,0;0,0,1;-1.0
3_561=1,0,0;0,1,0;-1.0
3_402=0,1,0;0,1,0;-1.0
0_20=0,1,0;0,1,0;-1.0
0_121=0,1,0;0,1,0;-1.0
0_18=0,1,0;0,1,0;-1.0
2_310=1,0,0;1,0,0;-1.0
0_103=1,0,0;0,1,0;-1.0
0_46=0,1,0;0,0,1;-1.0
0_53=0,1,0;0,1,0;-1.0
4_698=0,1,0;0,1,0;-1.0
4_683=0,0,1;0,1,0;-1.0
0_65=0,0,1;0,0,1;-1.0
1_197=0,1,0;0,1,0;-1.0
0_37=0,1,0;1,0,0;-1.0
3_558=0,1,0;0,1,0;-1.0
0_78=1,0,0;0,1,0;-1.0
3_426=0,0,1;0,1,0;-1.0
3_406=0,1,0;1,0,0;-1.0
5_732=1,0,0;0,1,0;-1.0
5_750=0,1,0;0,1,0;-1.0
2_347=1,0,0;0,1,0;-1.0
5_786=0,1,0;1,0,0;-1.0
4_666=0,1,0;1,0,0;-1.0
1_238=0,0,1;0,1,0;-1.0
5_800=1,0,0;0,1,0;-1.0
3_495=0,1,0;0,0,1;-1.0
2_340=0,1,0;0,0,1;-1.0
3_403=0,1,0;1,0,0;-1.0
0_68=0,0,1;0,0,1;-1.0
4_606=0,0,1;0,0,1;-1.0
1_166=0,1,0;0,1,0;-1.0
1_235=0,1,0;0,1,0;-1.0
1_140=0,1,0;0,0,1;-1.0
2_268=0,1,0;0,1,0;-1.0
0_14=0,1,0;1,0,0;-1.0
5_723=0,1,0;0,1,0;-1.0
4_608=0,1,0;0,1,0;-1.0
0_114=0,1,0;0,1,0;-1.0
5_737=1,0,0;0,1,0;-1.0
2_359=0,0,1;0,1,0;-1.0
0_17=0,1,0;0,1,0;-1.0
5_706=1,0,0;0,1,0;-1.0
0_23=1,0,0;0,1,0;-1.0
1_158=0,1,0;0,0,1;-1.0
