#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR 2=NONE
2_556=0,0,1;0,0,1;-1.0
2_544=0,0,1;0,0,1;-1.0
3_608=0,0,1;0,1,0;-1.0
3_588=1,0,0;0,1,0;-1.0
2_292=0,1,0;1,0,0;-1.0
5_1328=0,0,1;1,0,0;-1.0
3_744=0,0,1;0,0,1;-1.0
0_92=0,0,1;0,0,1;-1.0
4_1100=1,0,0;0,1,0;-1.0
3_720=0,0,1;0,0,1;-1.0
2_398=0,0,1;1,0,0;-1.0
5_1306=0,1,0;0,0,1;-1.0
2_468=0,0,1;0,1,0;-1.0
4_988=1,0,0;1,0,0;-1.0
3_746=0,0,1;1,0,0;-1.0
3_676=0,0,1;0,0,1;-1.0
0_8=1,0,0;0,0,1;-1.0
4_992=0,0,1;0,0,1;-1.0
3_812=1,0,0;1,0,0;-1.0
3_830=0,0,1;0,0,1;-1.0
4_1052=1,0,0;1,0,0;-1.0
3_648=1,0,0;0,1,0;-1.0
3_708=0,0,1;0,1,0;-1.0
0_80=0,0,1;0,1,0;-1.0
5_1228=0,1,0;0,1,0;-1.0
0_116=0,1,0;0,1,0;-1.0
0_28=0,0,1;0,1,0;-1.0
4_1032=1,0,0;0,1,0;-1.0
2_330=0,0,1;0,0,1;-1.0
5_1182=1,0,0;0,1,0;-1.0
3_762=1,0,0;1,0,0;-1.0
5_1246=0,0,1;1,0,0;-1.0
2_436=1,0,0;0,1,0;-1.0
1_188=0,1,0;0,1,0;-1.0
0_134=0,1,0;1,0,0;-1.0
3_628=0,0,1;0,0,1;-1.0
2_374=1,0,0;0,1,0;-1.0
2_284=0,0,1;0,0,1;-1.0
2_456=0,0,1;0,1,0;-1.0
3_580=0,0,1;0,0,1;-1.0
3_904=0,0,1;0,0,1;-1.0
5_1264=0,0,1;1,0,0;-1.0
5_1370=1,0,0;0,1,0;-1.0
2_508=0,0,1;0,0,1;-1.0
2_416=0,0,1;0,0,1;-1.0
4_958=0,0,1;1,0,0;-1.0
2_332=0,1,0;1,0,0;-1.0
4_964=0,1,0;1,0,0;-1.0
0_70=1,0,0;0,0,1;-1.0
5_1222=0,0,1;1,0,0;-1.0
4_1158=0,0,1;0,1,0;-1.0
2_378=1,0,0;1,0,0;-1.0
