#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR 2=NONE
3_804=0,1,0;0,1,0;-1.0
1_276=0,1,0;0,1,0;-1.0
3_768=0,1,0;1,0,0;-1.0
0_44=0,0,1;1,0,0;-1.0
2_408=1,0,0;1,0,0;-1.0
1_240=0,1,0;1,0,0;-1.0
5_1304=1,0,0;1,0,0;-1.0
3_770=0,0,1;0,0,1;-1.0
4_1146=1,0,0;1,0,0;-1.0
4_974=0,1,0;0,0,1;-1.0
5_1178=1,0,0;0,1,0;-1.0
4_1128=1,0,0;0,1,0;-1.0
5_1322=1,0,0;0,0,1;-1.0
5_1240=0,0,1;0,1,0;-1.0
2_508=0,0,1;0,0,1;-1.0
2_400=0,1,0;1,0,0;-1.0
2_362=0,1,0;1,0,0;-1.0
5_1172=1,0,0;1,0,0;-1.0
2_550=0,0,1;0,1,0;-1.0
1_238=0,1,0;0,0,1;-1.0
5_1342=0,1,0;0,1,0;-1.0
3_876=0,0,1;0,0,1;-1.0
0_8=1,0,0;0,0,1;-1.0
5_1208=0,1,0;0,1,0;-1.0
4_1000=0,1,0;0,1,0;-1.0
1_206=0,0,1;0,0,1;-1.0
0_90=0,0,1;0,0,1;-1.0
2_526=1,0,0;1,0,0;-1.0
5_1190=0,0,1;0,1,0;-1.0
2_474=0,0,1;1,0,0;-1.0
4_1126=0,0,1;0,1,0;-1.0
3_848=0,0,1;0,1,0;-1.0
1_154=0,0,1;0,0,1;-1.0
5_1182=0,0,1;1,0,0;-1.0
0_34=1,0,0;0,0,1;-1.0
3_834=0,0,1;0,0,1;-1.0
5_1210=0,0,1;1,0,0;-1.0
4_970=1,0,0;1,0,0;-1.0
0_38=0,1,0;1,0,0;-1.0
4_1096=0,0,1;0,0,1;-1.0
0_142=0,0,1;1,0,0;-1.0
0_136=1,0,0;1,0,0;-1.0
5_1184=1,0,0;0,1,0;-1.0
5_1174=0,0,1;0,0,1;-1.0
3_678=0,0,1;0,0,1;-1.0
2_566=0,1,0;0,0,1;-1.0
1_196=0,1,0;0,1,0;-1.0
2_494=0,0,1;1,0,0;-1.0
2_564=0,0,1;0,0,1;-1.0
3_824=0,0,1;1,0,0;-1.0
1_218=1,0,0;1,0,0;-1.0
4_1014=0,1,0;0,1,0;-1.0
5_1380=0,1,0;0,1,0;-1.0
3_918=0,1,0;0,0,1;-1.0
5_1288=0,1,0;0,1,0;-1.0
2_386=1,0,0;1,0,0;-1.0
3_606=0,0,1;0,0,1;-1.0
4_1066=0,0,1;0,0,1;-1.0
3_894=0,1,0;0,0,1;-1.0
0_28=0,0,1;0,1,0;-1.0
2_438=0,0,1;0,0,1;-1.0
1_342=0,0,1;0,1,0;-1.0
2_548=1,0,0;1,0,0;-1.0
5_1264=0,0,1;1,0,0;-1.0
4_1046=0,1,0;0,1,0;-1.0
4_1150=1,0,0;1,0,0;-1.0
5_1314=0,1,0;0,1,0;-1.0
2_592=0,0,1;0,0,1;-1.0
0_0=0,0,1;0,0,1;-1.0
3_784=0,1,0;0,0,1;-1.0
1_232=1,0,0;0,1,0;-1.0
0_94=0,1,0;0,1,0;-1.0
1_166=0,0,1;0,0,1;-1.0
2_584=1,0,0;0,0,1;-1.0
5_1376=0,0,1;0,1,0;-1.0
1_344=1,0,0;0,1,0;-1.0
5_1198=1,0,0;0,1,0;-1.0
3_630=1,0,0;0,1,0;-1.0
1_334=1,0,0;0,1,0;-1.0
0_116=0,0,1;0,1,0;-1.0
2_472=1,0,0;0,1,0;-1.0
2_556=0,0,1;0,0,1;-1.0
4_1148=1,0,0;1,0,0;-1.0
3_650=0,0,1;1,0,0;-1.0
4_1118=1,0,0;1,0,0;-1.0
5_1340=1,0,0;1,0,0;-1.0
2_562=1,0,0;0,0,1;-1.0
5_1270=1,0,0;0,1,0;-1.0
3_802=1,0,0;1,0,0;-1.0
0_46=0,1,0;0,1,0;-1.0
1_284=0,1,0;0,1,0;-1.0
5_1202=1,0,0;0,1,0;-1.0
0_64=1,0,0;1,0,0;-1.0
2_572=1,0,0;0,1,0;-1.0
4_1058=1,0,0;1,0,0;-1.0
2_478=1,0,0;0,1,0;-1.0
1_180=0,0,1;0,0,1;-1.0
5_1370=0,1,0;0,1,0;-1.0
1_198=0,1,0;0,1,0;-1.0
3_624=0,0,1;0,0,1;-1.0
2_506=0,0,1;0,1,0;-1.0
1_244=0,0,1;0,0,1;-1.0
2_422=0,0,1;1,0,0;-1.0
1_316=1,0,0;0,1,0;-1.0
0_132=0,1,0;0,1,0;-1.0
3_792=0,1,0;0,1,0;-1.0
1_172=0,0,1;0,0,1;-1.0
1_184=1,0,0;0,0,1;-1.0
3_694=0,0,1;1,0,0;-1.0
5_1180=1,0,0;1,0,0;-1.0
3_640=0,0,1;0,0,1;-1.0
4_1144=0,1,0;1,0,0;-1.0
0_124=0,0,1;0,0,1;-1.0
0_130=0,1,0;0,1,0;-1.0
3_940=1,0,0;1,0,0;-1.0
5_1374=1,0,0;0,0,1;-1.0
2_498=0,0,1;0,0,1;-1.0
3_620=1,0,0;0,1,0;-1.0
1_296=0,0,1;0,0,1;-1.0
1_352=0,1,0;0,0,1;-1.0
1_210=0,0,1;0,0,1;-1.0
4_1106=1,0,0;1,0,0;-1.0
3_884=0,1,0;1,0,0;-1.0
2_436=0,1,0;0,1,0;-1.0
5_1312=0,0,1;0,0,1;-1.0
1_354=1,0,0;0,1,0;-1.0
1_234=0,0,1;0,0,1;-1.0
4_1048=0,0,1;0,0,1;-1.0
5_1300=1,0,0;0,1,0;-1.0
2_420=1,0,0;1,0,0;-1.0
2_510=0,1,0;0,1,0;-1.0
2_534=0,0,1;0,0,1;-1.0
5_1260=0,0,1;1,0,0;-1.0
3_908=0,0,1;0,0,1;-1.0
1_262=0,0,1;0,1,0;-1.0
2_594=0,1,0;0,1,0;-1.0
5_1352=1,0,0;1,0,0;-1.0
0_120=0,1,0;0,1,0;-1.0
0_144=0,1,0;0,1,0;-1.0
0_110=0,0,1;0,0,1;-1.0
4_1002=0,0,1;0,1,0;-1.0
4_1092=1,0,0;1,0,0;-1.0
2_522=0,0,1;0,0,1;-1.0
2_464=0,0,1;0,0,1;-1.0
2_414=0,1,0;1,0,0;-1.0
2_416=0,1,0;1,0,0;-1.0
5_1280=0,1,0;0,1,0;-1.0
5_1334=1,0,0;1,0,0;-1.0
2_378=0,0,1;1,0,0;-1.0
2_402=1,0,0;1,0,0;-1.0
1_356=0,1,0;1,0,0;-1.0
3_602=0,0,1;0,0,1;-1.0
3_766=0,0,1;0,0,1;-1.0
5_1226=0,0,1;0,1,0;-1.0
1_146=0,1,0;0,1,0;-1.0
0_106=0,0,1;1,0,0;-1.0
2_558=0,0,1;0,1,0;-1.0
2_460=0,1,0;1,0,0;-1.0
3_774=0,0,1;0,0,1;-1.0
0_114=1,0,0;0,0,1;-1.0
5_1350=0,0,1;0,1,0;-1.0
1_236=0,0,1;0,0,1;-1.0
3_710=1,0,0;0,0,1;-1.0
2_466=1,0,0;1,0,0;-1.0
4_1136=0,1,0;0,1,0;-1.0
5_1364=1,0,0;0,1,0;-1.0
2_490=0,1,0;1,0,0;-1.0
2_492=0,0,1;0,1,0;-1.0
3_628=1,0,0;1,0,0;-1.0
5_1268=0,0,1;1,0,0;-1.0
2_512=0,1,0;0,1,0;-1.0
3_860=1,0,0;1,0,0;-1.0
4_1100=0,1,0;1,0,0;-1.0
4_1122=0,0,1;1,0,0;-1.0
0_80=0,0,1;0,1,0;-1.0
2_390=0,0,1;1,0,0;-1.0
