#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR 2=NONE
5_984=0,1,0;0,1,0;-1.0
0_0=0,0,1;0,0,1;-1.0
0_144=0,0,1;0,1,0;-1.0
4_806=0,0,1;0,0,1;-1.0
2_580=0,1,0;0,1,0;-1.0
1_226=1,0,0;0,0,1;-1.0
5_1026=0,0,1;0,0,1;-1.0
5_1122=0,1,0;0,1,0;-1.0
0_28=1,0,0;0,1,0;-1.0
4_734=0,1,0;0,1,0;-1.0
3_634=0,1,0;1,0,0;-1.0
2_376=0,1,0;1,0,0;-1.0
0_4=1,0,0;1,0,0;-1.0
0_180=0,0,1;0,0,1;-1.0
2_516=0,1,0;0,1,0;-1.0
4_884=0,0,1;1,0,0;-1.0
1_334=0,0,1;0,0,1;-1.0
5_1154=1,0,0;0,1,0;-1.0
3_644=0,0,1;0,0,1;-1.0
5_1010=1,0,0;0,1,0;-1.0
4_910=1,0,0;1,0,0;-1.0
0_94=0,1,0;0,1,0;-1.0
5_1126=0,1,0;0,1,0;-1.0
0_108=0,0,1;0,0,1;-1.0
4_814=1,0,0;0,0,1;-1.0
0_20=0,0,1;0,1,0;-1.0
0_168=0,1,0;0,0,1;-1.0
5_986=0,1,0;0,1,0;-1.0
0_184=0,0,1;0,0,1;-1.0
5_1000=0,0,1;1,0,0;-1.0
0_104=0,0,1;0,0,1;-1.0
5_1052=0,0,1;0,0,1;-1.0
0_130=0,1,0;0,1,0;-1.0
2_472=0,1,0;1,0,0;-1.0
1_344=1,0,0;0,0,1;-1.0
3_696=0,0,1;0,0,1;-1.0
2_552=0,1,0;0,1,0;-1.0
3_678=0,1,0;1,0,0;-1.0
3_658=1,0,0;0,1,0;-1.0
5_982=0,0,1;1,0,0;-1.0
3_710=1,0,0;1,0,0;-1.0
2_416=0,0,1;0,0,1;-1.0
3_708=1,0,0;0,0,1;-1.0
4_722=0,1,0;1,0,0;-1.0
3_684=0,1,0;0,0,1;-1.0
4_852=1,0,0;1,0,0;-1.0
1_222=1,0,0;0,1,0;-1.0
2_424=0,0,1;0,0,1;-1.0
0_16=0,0,1;0,1,0;-1.0
4_816=0,1,0;1,0,0;-1.0
1_224=0,0,1;0,0,1;-1.0
4_790=1,0,0;1,0,0;-1.0
4_906=0,1,0;1,0,0;-1.0
0_58=0,1,0;0,1,0;-1.0
0_34=1,0,0;0,0,1;-1.0
0_136=1,0,0;1,0,0;-1.0
0_56=0,0,1;0,1,0;-1.0
2_544=0,0,1;0,1,0;-1.0
4_784=0,1,0;0,1,0;-1.0
1_348=1,0,0;0,1,0;-1.0
5_1082=1,0,0;1,0,0;-1.0
1_218=0,0,1;0,0,1;-1.0
4_946=0,0,1;0,0,1;-1.0
3_606=1,0,0;0,1,0;-1.0
1_282=0,1,0;1,0,0;-1.0
2_452=0,0,1;0,0,1;-1.0
2_496=0,0,1;1,0,0;-1.0
4_864=1,0,0;1,0,0;-1.0
1_240=0,1,0;0,0,1;-1.0
4_832=0,1,0;1,0,0;-1.0
0_106=0,1,0;1,0,0;-1.0
0_190=0,0,1;0,0,1;-1.0
4_748=0,0,1;0,0,1;-1.0
5_1098=1,0,0;0,1,0;-1.0
1_234=0,0,1;0,0,1;-1.0
0_196=0,0,1;0,0,1;-1.0
4_842=0,0,1;0,0,1;-1.0
3_638=0,0,1;0,0,1;-1.0
0_36=0,0,1;0,0,1;-1.0
2_454=1,0,0;0,1,0;-1.0
0_174=1,0,0;0,0,1;-1.0
4_880=0,1,0;1,0,0;-1.0
3_688=1,0,0;0,0,1;-1.0
5_1048=0,1,0;0,1,0;-1.0
4_834=0,0,1;0,0,1;-1.0
0_176=0,0,1;0,0,1;-1.0
5_1170=0,1,0;0,1,0;-1.0
2_576=0,0,1;0,0,1;-1.0
4_830=1,0,0;1,0,0;-1.0
1_318=0,1,0;0,1,0;-1.0
2_448=0,0,1;0,0,1;-1.0
2_514=0,0,1;0,0,1;-1.0
2_524=0,1,0;0,1,0;-1.0
1_296=1,0,0;0,0,1;-1.0
4_742=0,1,0;1,0,0;-1.0
4_904=1,0,0;1,0,0;-1.0
0_206=0,1,0;1,0,0;-1.0
4_724=0,1,0;0,1,0;-1.0
1_324=0,0,1;0,1,0;-1.0
2_458=0,0,1;0,0,1;-1.0
5_1166=0,0,1;0,1,0;-1.0
1_350=1,0,0;0,1,0;-1.0
0_138=1,0,0;0,1,0;-1.0
4_936=0,1,0;0,1,0;-1.0
0_182=1,0,0;1,0,0;-1.0
4_846=1,0,0;1,0,0;-1.0
1_314=0,0,1;0,1,0;-1.0
2_478=1,0,0;0,1,0;-1.0
0_142=0,0,1;1,0,0;-1.0
4_756=1,0,0;0,1,0;-1.0
5_1100=0,0,1;0,0,1;-1.0
1_244=0,0,1;0,0,1;-1.0
1_340=0,0,1;0,1,0;-1.0
5_1140=0,0,1;0,1,0;-1.0
2_394=1,0,0;0,1,0;-1.0
4_914=0,0,1;0,0,1;-1.0
3_668=0,0,1;1,0,0;-1.0
2_418=0,0,1;0,0,1;-1.0
5_1172=1,0,0;0,1,0;-1.0
5_1074=0,1,0;0,1,0;-1.0
1_238=0,0,1;1,0,0;-1.0
2_436=1,0,0;1,0,0;-1.0
0_72=0,1,0;1,0,0;-1.0
2_562=0,0,1;0,0,1;-1.0
5_1056=0,1,0;0,1,0;-1.0
5_962=0,1,0;1,0,0;-1.0
2_368=0,1,0;1,0,0;-1.0
4_898=0,1,0;0,1,0;-1.0
2_406=0,1,0;1,0,0;-1.0
2_382=0,1,0;1,0,0;-1.0
4_908=1,0,0;1,0,0;-1.0
0_154=1,0,0;0,1,0;-1.0
1_250=0,0,1;0,0,1;-1.0
3_694=0,1,0;0,0,1;-1.0
5_1152=0,1,0;0,1,0;-1.0
4_888=0,1,0;0,1,0;-1.0
2_384=0,1,0;1,0,0;-1.0
3_674=0,0,1;0,0,1;-1.0
0_8=1,0,0;0,0,1;-1.0
3_676=0,0,1;0,0,1;-1.0
5_978=0,1,0;1,0,0;-1.0
1_308=1,0,0;0,1,0;-1.0
1_214=0,0,1;0,0,1;-1.0
4_740=0,0,1;0,1,0;-1.0
2_374=1,0,0;0,1,0;-1.0
5_998=0,1,0;0,1,0;-1.0
0_120=1,0,0;0,1,0;-1.0
3_670=0,0,1;0,0,1;-1.0
3_650=0,1,0;0,1,0;-1.0
2_388=1,0,0;1,0,0;-1.0
0_66=0,0,1;0,1,0;-1.0
5_1110=0,1,0;1,0,0;-1.0
1_270=0,1,0;0,0,1;-1.0
3_652=0,1,0;0,0,1;-1.0
0_150=0,1,0;0,1,0;-1.0
0_92=1,0,0;0,0,1;-1.0
2_532=1,0,0;1,0,0;-1.0
2_372=0,0,1;0,0,1;-1.0
0_96=0,0,1;0,0,1;-1.0
2_474=0,1,0;0,1,0;-1.0
4_798=0,0,1;0,1,0;-1.0
4_942=0,0,1;0,1,0;-1.0
5_1042=0,1,0;0,1,0;-1.0
4_926=0,1,0;0,1,0;-1.0
0_140=0,0,1;1,0,0;-1.0
4_886=1,0,0;0,1,0;-1.0
5_1130=0,0,1;1,0,0;-1.0
4_920=1,0,0;0,1,0;-1.0
