#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR 2=NONE
3_954=0,1,0;1,0,0;-1.0
3_850=0,0,1;0,0,1;-1.0
5_1470=0,1,0;0,1,0;-1.0
1_348=0,0,1;0,0,1;-1.0
3_914=1,0,0;1,0,0;-1.0
5_1230=1,0,0;0,1,0;-1.0
1_220=0,1,0;0,0,1;-1.0
3_918=0,1,0;0,1,0;-1.0
2_520=0,0,1;1,0,0;-1.0
2_598=0,0,1;0,1,0;-1.0
5_1458=1,0,0;1,0,0;-1.0
5_1352=0,1,0;0,1,0;-1.0
1_230=0,0,1;0,0,1;-1.0
5_1260=0,1,0;0,1,0;-1.0
1_276=1,0,0;0,0,1;-1.0
5_1312=1,0,0;0,1,0;-1.0
1_260=1,0,0;1,0,0;-1.0
1_226=0,1,0;0,0,1;-1.0
1_192=0,0,1;0,0,1;-1.0
4_1118=0,0,1;0,1,0;-1.0
5_1356=1,0,0;1,0,0;-1.0
1_372=1,0,0;0,1,0;-1.0
4_1170=0,1,0;0,1,0;-1.0
3_712=1,0,0;0,0,1;-1.0
0_150=0,1,0;0,1,0;-1.0
1_244=1,0,0;0,1,0;-1.0
1_210=0,0,1;1,0,0;-1.0
1_332=1,0,0;1,0,0;-1.0
3_906=0,1,0;0,0,1;-1.0
2_528=0,0,1;0,0,1;-1.0
5_1380=0,1,0;0,1,0;-1.0
3_824=0,0,1;0,0,1;-1.0
5_1366=1,0,0;0,0,1;-1.0
3_882=0,0,1;0,0,1;-1.0
4_1012=0,1,0;0,1,0;-1.0
1_326=0,1,0;0,1,0;-1.0
3_1002=0,1,0;0,1,0;-1.0
5_1394=1,0,0;1,0,0;-1.0
0_104=0,0,1;0,0,1;-1.0
3_760=0,0,1;0,0,1;-1.0
0_38=0,0,1;1,0,0;-1.0
1_270=0,0,1;0,0,1;-1.0
4_1164=0,1,0;0,1,0;-1.0
1_334=0,1,0;0,1,0;-1.0
2_446=0,0,1;0,0,1;-1.0
3_920=0,0,1;1,0,0;-1.0
4_1084=0,0,1;1,0,0;-1.0
3_668=1,0,0;0,1,0;-1.0
2_590=0,0,1;0,1,0;-1.0
3_688=0,0,1;0,1,0;-1.0
2_550=0,1,0;0,1,0;-1.0
5_1252=1,0,0;1,0,0;-1.0
3_986=0,1,0;0,0,1;-1.0
5_1236=1,0,0;1,0,0;-1.0
3_856=1,0,0;1,0,0;-1.0
2_544=0,1,0;0,1,0;-1.0
5_1336=0,0,1;0,1,0;-1.0
4_1222=0,0,1;0,0,1;-1.0
