#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR 2=NONE
5_968=1,0,0;1,0,0;-1.0
2_494=1,0,0;1,0,0;-1.0
2_498=0,0,1;0,0,1;-1.0
0_34=1,0,0;0,0,1;-1.0
3_628=0,1,0;0,1,0;-1.0
4_896=1,0,0;0,1,0;-1.0
0_26=0,1,0;1,0,0;-1.0
1_402=0,0,1;0,0,1;-1.0
4_926=0,1,0;0,1,0;-1.0
3_534=1,0,0;0,1,0;-1.0
5_1126=0,1,0;1,0,0;-1.0
0_184=0,0,1;0,0,1;-1.0
5_1156=0,1,0;1,0,0;-1.0
0_120=0,1,0;0,1,0;-1.0
0_158=1,0,0;1,0,0;-1.0
0_92=1,0,0;0,0,1;-1.0
4_766=1,0,0;1,0,0;-1.0
5_1100=1,0,0;1,0,0;-1.0
5_1022=0,0,1;0,1,0;-1.0
0_66=0,0,1;0,1,0;-1.0
3_680=1,0,0;1,0,0;-1.0
1_270=0,0,1;0,0,1;-1.0
1_366=0,1,0;0,1,0;-1.0
3_572=0,0,1;1,0,0;-1.0
3_524=0,0,1;0,0,1;-1.0
0_144=0,0,1;0,1,0;-1.0
0_20=0,0,1;0,1,0;-1.0
0_174=1,0,0;0,0,1;-1.0
3_618=0,0,1;1,0,0;-1.0
5_1140=0,1,0;1,0,0;-1.0
4_940=0,1,0;0,0,1;-1.0
0_160=0,0,1;0,0,1;-1.0
4_956=0,1,0;0,0,1;-1.0
1_340=1,0,0;0,0,1;-1.0
1_398=1,0,0;1,0,0;-1.0
1_322=0,0,1;0,0,1;-1.0
4_810=0,1,0;1,0,0;-1.0
3_672=0,1,0;1,0,0;-1.0
3_580=0,0,1;0,0,1;-1.0
4_806=0,0,1;1,0,0;-1.0
0_24=0,0,1;0,0,1;-1.0
2_462=1,0,0;1,0,0;-1.0
0_126=0,0,1;0,0,1;-1.0
1_298=0,0,1;0,1,0;-1.0
5_1092=0,1,0;1,0,0;-1.0
3_578=1,0,0;0,0,1;-1.0
0_60=0,0,1;1,0,0;-1.0
1_410=0,1,0;0,1,0;-1.0
1_416=0,1,0;0,1,0;-1.0
4_864=0,1,0;0,0,1;-1.0
5_1072=0,0,1;0,0,1;-1.0
4_762=1,0,0;0,1,0;-1.0
4_754=0,0,1;0,0,1;-1.0
4_856=0,1,0;0,0,1;-1.0
2_430=0,1,0;1,0,0;-1.0
5_984=0,1,0;1,0,0;-1.0
0_14=0,0,1;0,1,0;-1.0
3_574=0,0,1;0,0,1;-1.0
0_96=0,0,1;0,0,1;-1.0
3_640=0,0,1;0,0,1;-1.0
4_886=1,0,0;1,0,0;-1.0
5_1106=0,0,1;0,0,1;-1.0
3_600=0,1,0;0,0,1;-1.0
5_1050=0,0,1;0,1,0;-1.0
5_982=1,0,0;0,1,0;-1.0
4_878=0,1,0;0,1,0;-1.0
1_374=0,0,1;0,1,0;-1.0
2_446=1,0,0;1,0,0;-1.0
5_1142=0,0,1;0,0,1;-1.0
5_1172=0,0,1;0,1,0;-1.0
5_1090=0,1,0;1,0,0;-1.0
5_1004=0,1,0;0,1,0;-1.0
4_760=1,0,0;0,1,0;-1.0
2_506=0,0,1;0,0,1;-1.0
4_874=1,0,0;1,0,0;-1.0
4_814=0,1,0;0,1,0;-1.0
3_550=1,0,0;0,1,0;-1.0
2_470=0,0,1;0,0,1;-1.0
2_496=0,1,0;0,1,0;-1.0
4_870=1,0,0;1,0,0;-1.0
5_1054=0,1,0;0,1,0;-1.0
4_902=0,0,1;0,0,1;-1.0
0_6=0,0,1;0,1,0;-1.0
3_626=0,0,1;0,0,1;-1.0
1_228=0,0,1;0,0,1;-1.0
2_502=0,0,1;0,0,1;-1.0
3_528=0,1,0;0,1,0;-1.0
4_798=0,1,0;1,0,0;-1.0
5_1068=0,0,1;0,1,0;-1.0
0_170=1,0,0;0,0,1;-1.0
0_22=0,0,1;0,1,0;-1.0
5_1170=1,0,0;0,0,1;-1.0
0_12=0,1,0;1,0,0;-1.0
5_1150=0,0,1;1,0,0;-1.0
4_828=0,1,0;0,0,1;-1.0
3_668=0,0,1;0,0,1;-1.0
1_386=1,0,0;0,1,0;-1.0
3_530=1,0,0;0,1,0;-1.0
3_616=1,0,0;0,0,1;-1.0
3_630=0,0,1;0,0,1;-1.0
3_654=0,1,0;0,1,0;-1.0
3_664=0,0,1;0,0,1;-1.0
1_244=1,0,0;0,1,0;-1.0
4_730=0,1,0;0,1,0;-1.0
3_690=0,0,1;0,0,1;-1.0
3_622=0,0,1;0,0,1;-1.0
5_1034=0,0,1;0,0,1;-1.0
1_412=1,0,0;1,0,0;-1.0
3_682=0,1,0;0,0,1;-1.0
5_1160=1,0,0;0,1,0;-1.0
4_950=0,0,1;0,1,0;-1.0
3_624=1,0,0;0,0,1;-1.0
1_388=0,1,0;0,0,1;-1.0
5_1018=0,1,0;1,0,0;-1.0
3_552=0,0,1;0,1,0;-1.0
3_522=0,0,1;0,0,1;-1.0
3_724=0,1,0;0,1,0;-1.0
5_972=0,0,1;0,1,0;-1.0
0_168=1,0,0;0,0,1;-1.0
1_252=0,0,1;0,0,1;-1.0
4_876=0,1,0;0,1,0;-1.0
3_698=0,1,0;1,0,0;-1.0
4_862=0,1,0;1,0,0;-1.0
1_300=0,1,0;0,1,0;-1.0
4_918=1,0,0;1,0,0;-1.0
5_1136=0,0,1;1,0,0;-1.0
4_744=0,1,0;0,1,0;-1.0
5_1148=1,0,0;1,0,0;-1.0
4_922=0,1,0;0,0,1;-1.0
2_466=0,0,1;0,0,1;-1.0
0_58=0,1,0;0,1,0;-1.0
