#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR 2=NONE
0_66=0,0,1;0,1,0;-1.0
4_868=0,1,0;0,1,0;-1.0
3_790=1,0,0;1,0,0;-1.0
4_948=0,1,0;0,1,0;-1.0
2_416=0,1,0;0,1,0;-1.0
5_1282=0,0,1;0,1,0;-1.0
3_636=1,0,0;1,0,0;-1.0
1_156=0,0,1;0,0,1;-1.0
4_954=0,0,1;0,0,1;-1.0
3_640=1,0,0;0,1,0;-1.0
4_962=0,1,0;1,0,0;-1.0
1_196=1,0,0;1,0,0;-1.0
2_430=1,0,0;0,1,0;-1.0
2_442=1,0,0;0,0,1;-1.0
1_238=0,0,1;0,1,0;-1.0
0_88=0,1,0;0,0,1;-1.0
2_380=0,0,1;1,0,0;-1.0
1_130=0,0,1;0,0,1;-1.0
3_616=0,0,1;0,0,1;-1.0
5_1288=1,0,0;1,0,0;-1.0
4_920=1,0,0;1,0,0;-1.0
5_1088=0,1,0;0,0,1;-1.0
2_294=0,0,1;0,1,0;-1.0
4_1028=1,0,0;0,1,0;-1.0
3_726=0,0,1;0,0,1;-1.0
0_112=0,0,1;0,0,1;-1.0
0_78=1,0,0;1,0,0;-1.0
2_446=0,1,0;1,0,0;-1.0
1_242=0,0,1;0,0,1;-1.0
5_1250=0,0,1;1,0,0;-1.0
2_422=0,0,1;0,1,0;-1.0
5_1116=0,1,0;0,1,0;-1.0
2_308=1,0,0;1,0,0;-1.0
2_282=0,1,0;1,0,0;-1.0
3_510=1,0,0;0,1,0;-1.0
1_218=0,1,0;0,1,0;-1.0
3_514=1,0,0;0,1,0;-1.0
3_664=0,0,1;0,1,0;-1.0
2_386=0,0,1;1,0,0;-1.0
3_620=0,0,1;0,0,1;-1.0
5_1198=0,1,0;0,0,1;-1.0
3_604=1,0,0;0,0,1;-1.0
1_138=0,0,1;0,0,1;-1.0
3_800=1,0,0;1,0,0;-1.0
2_460=0,0,1;0,0,1;-1.0
4_902=1,0,0;1,0,0;-1.0
3_650=0,0,1;0,0,1;-1.0
0_68=0,0,1;1,0,0;-1.0
4_1026=0,0,1;0,0,1;-1.0
2_438=1,0,0;0,0,1;-1.0
2_374=1,0,0;0,1,0;-1.0
5_1192=0,0,1;0,1,0;-1.0
5_1118=0,0,1;0,1,0;-1.0
3_612=0,0,1;0,0,1;-1.0
2_300=1,0,0;1,0,0;-1.0
3_782=0,1,0;0,1,0;-1.0
3_568=0,0,1;0,0,1;-1.0
2_464=0,0,1;0,1,0;-1.0
5_1302=1,0,0;0,1,0;-1.0
4_966=1,0,0;1,0,0;-1.0
3_668=0,1,0;1,0,0;-1.0
4_1066=0,1,0;0,1,0;-1.0
2_304=1,0,0;1,0,0;-1.0
5_1272=1,0,0;1,0,0;-1.0
5_1180=0,0,1;1,0,0;-1.0
2_318=0,0,1;0,0,1;-1.0
3_508=0,1,0;0,1,0;-1.0
4_922=0,0,1;1,0,0;-1.0
3_560=0,0,1;0,0,1;-1.0
3_780=1,0,0;1,0,0;-1.0
5_1162=0,0,1;1,0,0;-1.0
4_992=0,1,0;1,0,0;-1.0
2_434=1,0,0;0,1,0;-1.0
0_92=0,0,1;0,0,1;-1.0
2_382=0,1,0;1,0,0;-1.0
2_328=0,0,1;1,0,0;-1.0
4_1038=1,0,0;1,0,0;-1.0
1_246=0,0,1;0,1,0;-1.0
4_940=0,0,1;0,0,1;-1.0
4_1076=0,0,1;0,0,1;-1.0
3_540=0,0,1;0,0,1;-1.0
0_56=1,0,0;0,1,0;-1.0
3_768=0,1,0;1,0,0;-1.0
3_532=1,0,0;0,1,0;-1.0
4_944=1,0,0;0,0,1;-1.0
2_268=0,1,0;1,0,0;-1.0
4_1056=0,1,0;0,1,0;-1.0
3_638=0,0,1;0,1,0;-1.0
5_1150=1,0,0;0,1,0;-1.0
3_724=0,0,1;1,0,0;-1.0
3_770=1,0,0;0,1,0;-1.0
4_1048=1,0,0;1,0,0;-1.0
4_894=0,0,1;0,1,0;-1.0
4_1060=0,0,1;0,0,1;-1.0
3_644=0,0,1;0,0,1;-1.0
2_414=0,0,1;0,0,1;-1.0
3_736=0,0,1;0,0,1;-1.0
5_1132=1,0,0;0,0,1;-1.0
3_820=0,1,0;0,1,0;-1.0
4_1000=0,0,1;0,1,0;-1.0
4_912=0,0,1;0,0,1;-1.0
3_570=0,1,0;0,1,0;-1.0
3_500=0,0,1;1,0,0;-1.0
5_1304=1,0,0;1,0,0;-1.0
3_656=0,0,1;0,0,1;-1.0
2_410=0,1,0;0,1,0;-1.0
1_210=1,0,0;0,0,1;-1.0
1_128=0,0,1;0,0,1;-1.0
2_408=0,0,1;0,0,1;-1.0
3_692=0,1,0;0,1,0;-1.0
4_980=0,1,0;0,0,1;-1.0
3_534=0,0,1;0,1,0;-1.0
0_114=1,0,0;0,0,1;-1.0
3_694=1,0,0;0,0,1;-1.0
2_272=0,0,1;0,0,1;-1.0
3_582=0,1,0;1,0,0;-1.0
5_1106=1,0,0;0,1,0;-1.0
3_558=1,0,0;0,0,1;-1.0
5_1100=0,0,1;1,0,0;-1.0
3_658=0,1,0;0,0,1;-1.0
4_1022=1,0,0;1,0,0;-1.0
4_968=1,0,0;1,0,0;-1.0
4_1080=1,0,0;0,0,1;-1.0
0_86=0,1,0;1,0,0;-1.0
3_628=0,1,0;0,1,0;-1.0
2_444=0,0,1;0,1,0;-1.0
3_796=0,0,1;1,0,0;-1.0
0_52=0,0,1;0,1,0;-1.0
3_722=0,0,1;0,1,0;-1.0
4_952=1,0,0;0,0,1;-1.0
5_1214=0,1,0;1,0,0;-1.0
5_1112=0,0,1;1,0,0;-1.0
5_1114=0,1,0;0,1,0;-1.0
5_1138=0,0,1;1,0,0;-1.0
3_812=0,0,1;1,0,0;-1.0
4_964=0,0,1;0,0,1;-1.0
5_1102=0,0,1;1,0,0;-1.0
2_314=1,0,0;1,0,0;-1.0
5_1244=0,0,1;1,0,0;-1.0
2_452=0,1,0;0,1,0;-1.0
5_1152=0,0,1;0,0,1;-1.0
0_62=0,0,1;0,0,1;-1.0
3_590=0,0,1;0,0,1;-1.0
1_258=0,0,1;0,0,1;-1.0
1_142=0,0,1;0,0,1;-1.0
0_16=0,0,1;0,1,0;-1.0
3_830=0,0,1;0,0,1;-1.0
1_122=0,1,0;0,1,0;-1.0
1_240=0,1,0;0,0,1;-1.0
0_44=1,0,0;1,0,0;-1.0
5_1298=0,0,1;0,0,1;-1.0
3_762=0,0,1;0,0,1;-1.0
4_860=0,0,1;0,1,0;-1.0
0_2=0,1,0;0,1,0;-1.0
1_248=0,0,1;0,0,1;-1.0
2_412=0,0,1;0,1,0;-1.0
1_214=0,0,1;0,0,1;-1.0
5_1256=0,1,0;0,1,0;-1.0
1_198=1,0,0;0,1,0;-1.0
4_1072=0,0,1;0,1,0;-1.0
5_1176=1,0,0;1,0,0;-1.0
4_1032=0,0,1;0,1,0;-1.0
5_1208=0,1,0;0,1,0;-1.0
4_1014=1,0,0;1,0,0;-1.0
5_1148=0,1,0;0,1,0;-1.0
0_8=1,0,0;0,0,1;-1.0
5_1240=1,0,0;1,0,0;-1.0
1_192=1,0,0;0,1,0;-1.0
2_462=0,0,1;0,0,1;-1.0
3_606=0,0,1;0,0,1;-1.0
2_480=0,1,0;0,1,0;-1.0
2_456=0,0,1;0,1,0;-1.0
3_714=0,0,1;0,0,1;-1.0
5_1246=0,0,1;0,0,1;-1.0
3_666=0,0,1;0,0,1;-1.0
2_400=0,0,1;1,0,0;-1.0
4_942=1,0,0;0,1,0;-1.0
3_576=0,1,0;0,0,1;-1.0
2_494=0,1,0;0,1,0;-1.0
3_610=0,1,0;0,0,1;-1.0
0_104=0,0,1;0,0,1;-1.0
4_910=0,0,1;0,0,1;-1.0
2_388=0,1,0;1,0,0;-1.0
3_544=0,1,0;1,0,0;-1.0
5_1254=1,0,0;1,0,0;-1.0
3_700=0,1,0;0,0,1;-1.0
3_696=0,0,1;0,0,1;-1.0
0_84=0,0,1;0,0,1;-1.0
5_1212=1,0,0;1,0,0;-1.0
4_960=0,1,0;1,0,0;-1.0
3_602=0,0,1;0,0,1;-1.0
3_824=1,0,0;0,1,0;-1.0
3_562=0,0,1;0,0,1;-1.0
5_1236=0,1,0;0,1,0;-1.0
3_526=0,0,1;0,0,1;-1.0
1_200=0,0,1;0,0,1;-1.0
0_54=1,0,0;1,0,0;-1.0
4_976=1,0,0;1,0,0;-1.0
4_916=0,0,1;0,0,1;-1.0
3_690=0,0,1;1,0,0;-1.0
2_326=1,0,0;1,0,0;-1.0
4_924=0,0,1;0,0,1;-1.0
3_646=0,0,1;0,0,1;-1.0
3_848=0,1,0;0,1,0;-1.0
0_6=0,0,1;0,1,0;-1.0
3_774=0,0,1;0,1,0;-1.0
1_154=0,1,0;0,0,1;-1.0
0_80=0,0,1;0,1,0;-1.0
1_262=0,1,0;0,1,0;-1.0
3_744=1,0,0;0,1,0;-1.0
3_826=0,1,0;1,0,0;-1.0
2_306=1,0,0;1,0,0;-1.0
3_834=0,0,1;0,0,1;-1.0
3_580=0,0,1;0,0,1;-1.0
2_366=0,1,0;1,0,0;-1.0
0_12=0,1,0;1,0,0;-1.0
0_116=0,1,0;0,1,0;-1.0
3_542=0,0,1;0,0,1;-1.0
2_310=0,1,0;0,0,1;-1.0
3_524=0,0,1;0,0,1;-1.0
3_578=0,0,1;0,0,1;-1.0
0_36=0,0,1;0,0,1;-1.0
2_358=0,0,1;0,0,1;-1.0
3_686=0,1,0;0,0,1;-1.0
5_1098=1,0,0;0,1,0;-1.0
5_1308=0,0,1;0,1,0;-1.0
2_348=0,0,1;0,0,1;-1.0
4_898=0,0,1;1,0,0;-1.0
3_594=0,1,0;1,0,0;-1.0
2_396=0,0,1;1,0,0;-1.0
5_1286=1,0,0;0,1,0;-1.0
0_60=0,0,1;1,0,0;-1.0
5_1096=0,0,1;0,1,0;-1.0
5_1146=0,0,1;0,1,0;-1.0
0_70=1,0,0;0,0,1;-1.0
5_1228=1,0,0;0,1,0;-1.0
3_546=1,0,0;1,0,0;-1.0
4_950=1,0,0;1,0,0;-1.0
3_520=1,0,0;0,1,0;-1.0
5_1144=0,1,0;0,1,0;-1.0
3_710=1,0,0;0,1,0;-1.0
2_478=1,0,0;0,1,0;-1.0
3_772=1,0,0;1,0,0;-1.0
1_216=0,1,0;1,0,0;-1.0
2_364=1,0,0;1,0,0;-1.0
5_1124=0,1,0;0,1,0;-1.0
1_252=0,0,1;0,1,0;-1.0
1_208=1,0,0;0,1,0;-1.0
2_488=0,0,1;0,0,1;-1.0
2_398=0,0,1;0,1,0;-1.0
5_1306=0,0,1;0,1,0;-1.0
4_1024=0,1,0;1,0,0;-1.0
1_126=0,0,1;0,0,1;-1.0
2_418=0,0,1;0,1,0;-1.0
4_974=0,0,1;1,0,0;-1.0
3_814=0,0,1;0,0,1;-1.0
3_742=0,0,1;0,0,1;-1.0
4_880=0,1,0;1,0,0;-1.0
2_384=1,0,0;0,1,0;-1.0
5_1218=0,1,0;0,1,0;-1.0
2_424=1,0,0;0,1,0;-1.0
2_266=0,1,0;0,1,0;-1.0
2_344=0,0,1;0,0,1;-1.0
1_152=0,0,1;1,0,0;-1.0
5_1166=0,0,1;0,1,0;-1.0
5_1204=0,1,0;0,1,0;-1.0
1_228=0,0,1;0,1,0;-1.0
3_572=0,0,1;1,0,0;-1.0
4_996=0,0,1;1,0,0;-1.0
0_32=1,0,0;1,0,0;-1.0
3_802=0,0,1;0,0,1;-1.0
2_288=1,0,0;1,0,0;-1.0
2_496=0,0,1;0,0,1;-1.0
0_46=0,1,0;0,1,0;-1.0
1_134=1,0,0;0,1,0;-1.0
1_124=0,0,1;0,0,1;-1.0
2_404=0,0,1;0,0,1;-1.0
