#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR 2=NONE
3_810=0,1,0;0,1,0;-1.0
4_1198=1,0,0;0,1,0;-1.0
2_566=1,0,0;1,0,0;-1.0
1_480=1,0,0;0,0,1;-1.0
4_1270=0,0,1;0,0,1;-1.0
3_1026=0,0,1;1,0,0;-1.0
1_356=0,0,1;0,0,1;-1.0
3_822=1,0,0;0,1,0;-1.0
2_702=0,0,1;0,0,1;-1.0
4_1208=0,1,0;1,0,0;-1.0
3_880=0,0,1;0,0,1;-1.0
4_1364=0,0,1;0,0,1;-1.0
0_14=0,0,1;0,1,0;-1.0
5_1432=0,0,1;1,0,0;-1.0
0_254=0,1,0;0,1,0;-1.0
4_1192=0,1,0;1,0,0;-1.0
5_1528=0,1,0;1,0,0;-1.0
4_1352=0,1,0;1,0,0;-1.0
4_1264=1,0,0;0,0,1;-1.0
4_1358=1,0,0;0,0,1;-1.0
2_750=1,0,0;0,1,0;-1.0
0_212=1,0,0;0,1,0;-1.0
0_272=1,0,0;0,0,1;-1.0
2_626=0,0,1;1,0,0;-1.0
2_602=1,0,0;0,1,0;-1.0
2_528=1,0,0;1,0,0;-1.0
2_752=0,0,1;0,0,1;-1.0
5_1416=0,1,0;0,1,0;-1.0
2_686=0,1,0;1,0,0;-1.0
1_494=0,0,1;1,0,0;-1.0
2_664=0,1,0;0,1,0;-1.0
2_588=0,0,1;0,0,1;-1.0
0_134=0,1,0;1,0,0;-1.0
5_1544=0,1,0;0,0,1;-1.0
1_460=0,0,1;0,1,0;-1.0
4_1378=0,1,0;0,1,0;-1.0
2_590=0,0,1;0,0,1;-1.0
5_1536=1,0,0;1,0,0;-1.0
5_1438=0,0,1;0,0,1;-1.0
1_332=0,0,1;0,1,0;-1.0
3_830=1,0,0;1,0,0;-1.0
1_306=0,1,0;0,0,1;-1.0
4_1344=0,0,1;0,1,0;-1.0
0_168=0,1,0;0,0,1;-1.0
0_98=0,1,0;0,1,0;-1.0
2_662=1,0,0;0,1,0;-1.0
0_140=0,0,1;1,0,0;-1.0
0_232=0,0,1;1,0,0;-1.0
0_210=0,1,0;1,0,0;-1.0
3_1140=0,0,1;0,1,0;-1.0
0_12=0,1,0;1,0,0;-1.0
0_264=0,0,1;1,0,0;-1.0
4_1324=0,1,0;0,1,0;-1.0
0_202=0,0,1;1,0,0;-1.0
3_898=1,0,0;0,0,1;-1.0
2_682=1,0,0;0,0,1;-1.0
5_1578=0,0,1;0,0,1;-1.0
3_856=0,0,1;0,0,1;-1.0
5_1610=0,0,1;0,0,1;-1.0
3_1108=0,0,1;0,0,1;-1.0
5_1534=0,1,0;0,0,1;-1.0
5_1494=0,0,1;0,0,1;-1.0
5_1472=0,0,1;0,1,0;-1.0
0_40=0,0,1;0,0,1;-1.0
3_1132=0,0,1;0,0,1;-1.0
2_512=0,0,1;0,0,1;-1.0
1_490=1,0,0;1,0,0;-1.0
4_1228=0,0,1;0,0,1;-1.0
5_1512=0,1,0;0,1,0;-1.0
0_148=0,0,1;0,0,1;-1.0
2_798=0,0,1;0,0,1;-1.0
3_976=0,0,1;0,0,1;-1.0
1_324=0,1,0;0,1,0;-1.0
1_308=0,0,1;0,0,1;-1.0
