#ID=PREDICTION;GOLDSTANDARD;THRESHOLD
#labels 0=AGAINST 1=FAVOR 2=NONE
3_458=0,0,1;0,0,1;-1.0
3_569=0,0,1;1,0,0;-1.0
2_382=0,0,1;0,0,1;-1.0
2_274=1,0,0;1,0,0;-1.0
0_37=1,0,0;0,1,0;-1.0
5_763=0,1,0;1,0,0;-1.0
2_281=0,0,1;1,0,0;-1.0
0_103=0,0,1;1,0,0;-1.0
4_656=0,0,1;0,1,0;-1.0
0_118=0,0,1;0,0,1;-1.0
3_404=0,0,1;0,0,1;-1.0
4_692=0,0,1;0,1,0;-1.0
5_771=0,0,1;0,0,1;-1.0
2_351=0,0,1;0,0,1;-1.0
1_201=0,1,0;0,1,0;-1.0
0_116=0,0,1;1,0,0;-1.0
1_251=0,1,0;0,1,0;-1.0
4_595=0,0,1;0,0,1;-1.0
5_773=1,0,0;0,1,0;-1.0
3_520=1,0,0;1,0,0;-1.0
1_243=0,0,1;0,0,1;-1.0
0_128=0,0,1;0,0,1;-1.0
2_276=0,0,1;0,0,1;-1.0
3_573=0,1,0;0,1,0;-1.0
4_638=1,0,0;0,0,1;-1.0
4_581=0,1,0;0,1,0;-1.0
0_112=1,0,0;0,0,1;-1.0
3_410=1,0,0;0,1,0;-1.0
1_184=0,1,0;1,0,0;-1.0
2_396=0,0,1;0,0,1;-1.0
1_199=0,0,1;0,1,0;-1.0
4_663=0,0,1;1,0,0;-1.0
3_432=0,0,1;0,0,1;-1.0
0_48=0,0,1;0,0,1;-1.0
0_13=0,1,0;1,0,0;-1.0
1_159=1,0,0;0,1,0;-1.0
5_711=0,0,1;0,1,0;-1.0
2_269=1,0,0;0,1,0;-1.0
4_608=1,0,0;1,0,0;-1.0
2_395=0,0,1;0,0,1;-1.0
2_327=0,0,1;0,0,1;-1.0
5_737=0,0,1;1,0,0;-1.0
3_409=0,1,0;0,1,0;-1.0
3_413=0,0,1;0,0,1;-1.0
0_132=0,0,1;1,0,0;-1.0
3_533=0,0,1;0,1,0;-1.0
